OTS	OTQ
"-pasadores: ""ya nts'äza xi mra nts'u̱t'i mi t'e̱ni ko n'a ra t'e̱nga ts'u̱t'a bo̱kja mi tjutuabi ra ballesta""."	"-pasadores: ""ya nts'äza xi mra nts'u̱t'i mi t'eni ko n'a ra t'enga ts'u̱t'a bo̱kja mi tjutuabi ra ballesta""."
"cantares mexicanos, biblioteca nacional de méxico, ya nt'ofo 1628 bis, folio 16 v."	"cantares mexicanos, biblioteca nacional de méxico, ya nt’otho 1628 bis, folio 16 v."
"ebu̱ bi bo̱ni, bi meui nuni nonohualco, ja ra ngu ra b'ongui jabu̱ ra gabida ne ra malintzin ne ""ra jyadi"" (alvarado) ne ra sandoval."	"ebu̱ bi bo̱ni, bi meui nuni nonohualco, ja ra ngu ra b'ongui jabu̱ ra gabida ne ra malintzin ne ""ra yadi"" (alvarado) ne ra sandoval."
gi jandi ra nt'ofo ra tjuju ra crónicas de la conquista	gi xandi ra nt’otho ra jiju ra crónicas de la conquista
"guzmán. ja ya je̱m'i b'e̱tsa kje̱ya manteb'u̱ di ge nuua m'onda ne ya jyo, nu'a ra jmä ra 12-conejo (1530) ge xa jmä ge xibú bi yut'i ja ra culhuacan ya ndeznä, nda pablo xochiquetzin, motelchiuhtzin ne ra guzman."	"Guzmán. Ja ya hëmi bët'a këyä manthe'bu di ge nuwa monda ne ya jyo, nu'a ra jmä ra 12-conejo (1530) ge xa jmä ge xibö bi yot'i ja ra Culhuacan ya ndetsnä, nda Pablo Xochiquetzin, Motelchiuhtzin ne ra Guzmán."
"ja ga ñ'udiju̱ ra nt'ofo ya ñämfo̱ po ra ntjuts'i ra doctor garibay,"	"xa ga ñ'udižu̱ ra nt'otho ya ñätho̱ po ra nt'uts'i ra doctor garibay,"
ja nu'a jyodi nubia tjutuabi ra san martin.	xa nu'ä yodi nubia chuchuabi ra San Martín.
"je̱mi unga mfädi ja ra t'u̱ka jnini jabu̱ b'u̱i ya kjä'i teni ra división ra arenas, 27 ra abril ra kje̱ya 1918, ra m'ets'a je̱m'i ra zapata, b'e̱tsi ja ra universidad nacional autónoma de méxico, expediente 29."	"Jämi hingi mfädi ha ra t'uka nxüni hñäbu b'ui ya kä'i teni ra división ra arenas, 27 ra abril ra käya 1918, ra m'ets'a jämi ra zapata, b'ëtsi ha ra universidad nacional autónoma de méxico, expediente 29."
"m'e̱fa ja ra jñuti bri tjätuabi na ra jñe xki tagiri mo̱te, neje bri kjom'a ra xu̱tja ko n'a ra t'axa dutu mra tjujuu ra ""campanillante""."	"m'efa ja ra ñuti bri tyätuabi na ra ñä xki tagiri möthe, neje bri kyoma ra hütxa ko n'a ra t'axa duthu mra tjuju ra ""campanillante""."
"ma dada'ije gra ts'u̱tui, di ne gi pädi ge ma me̱t'o instä tjogije nuna tjogi gatjo ya mapa xki r'ani, bi kjuat'i ko ngeke nu̱'u ri b'e̱go, ri me̱fi ya ñämfo̱, ra nge'a makjuäni ra hernando cortés ra ndä gabida,"	"ma tada'ije gra ts'ütui, di ne gi pädi ge ma mätho instä tjogije nuna tjogi gatjo ya mapa xki rani, bi kjuathi ko ngeke ñu'u ri bëgo, ri mäfi ya ñämfo, ra nge'a makjuäni ra hernando cortés ra ndä gabida,"
mi b'u̱i ya mu̱dimejai mi ñä ra ndeznä ne jabu̱ ra jnini dige'a gatjo ra nxiki m'onda ngu r'a ya yaqui b'u̱i nuni sonora ne ya maya ri ñ'eje nuni yucatán ra nge bi guat'i ja ra tujni bi nkja nuua m'onda fädi ko ra tjuju ra revolución mexicana ya kje̱ya 1910-1919.	mi b'ui ya mu̱dimehai mi ñä ra ndezna ne xabu̱ ra jnini dige'a gatjo ra nxiki m'onda ngu r'a ya yaqui b'ui nuni sonora ne ya maya ri ñ'eje nuni yucatán ra nge bi guat'i ja ra tujni bi nkja nuua m'onda fädi ko ra tjuju ra revolución mexicana ya kje̱ya 1910-1919.
mi fo̱tuabi ya ts'u̱tnibo̱kja mi tjutuabi ya jñämfo̱ ra pasadores neje ya bo̱zna ko ya nzafi.	mi fotuabi ya ts'utnibo̱kja mi txutuabi ya ñämfo̱ ra pasadores neje ya bozna ko ya nzafi.
"n'a nt'udi di ge'a nuya ntjoki bri t'o̱t'e ja ya jñä ya ndeznä ra ngätsi ra ntjebe nkje̱ya ra r'e̱t'a ma gu̱to (s. xix), r'a ya jnini ngu ra xicontepec (villa juárez) nuna jyodi koji nuni puebla."	"n'a nt'udi di ge'a nuya nt'oki bri t'ot'e ja ya ñä ya ndezna ra ngätsi ra nt'ebe nk'eya ra r'et'a ma guto (s. xix), r'a ya ñ'eni ngu ra xicontepec (villa juárez) nuna yodi koji nuni puebla."
"n'a ra t'axa dutu mi pe̱tsi ya k'oi ra ixki, nuna mra tjuju jñämfo̱ ""campaneante resonador""."	"n'a ra t'axa dutu mi pe̱tsi ya k'oi ra ixki, nuna mra tjuju ñämfo̱ ""campaneante resonador""."
"ne ri mpe̱fi ja ra dängan gu nt'udi ra tjuju ra facultad de estudios superiores, acatlán, unam,"	"ne r'i mpefi ha ra dänga go nt'udi ra t'ut'u ra facultad de estudios superiores, acatlán, unam,"
"ntjandi gatjo nu'a ra munts'i ra tjuju jñämfo̱ ra globalización ge 'a po̱ts'e dega nest'iji, nuna y'o̱te to̱m'i da nkja ra ntjo̱mäte."	"nt'andi gato nu'a ra mints'i ra t'ut'u ñämfo ra globalización ge 'a po̱ts'e dega nest'iji, nuna y'o̱te to̱mi da nkja ra nt'ot'äti."
"nu'a ma r'a ya kjä'i mi pädi nuña b'e̱fi bri b'e̱pabi xa jyoki yojo ya mpe̱fi mi fädi ko ra tjuju ra amosqueador ko ya xi ya ts'ints'u̱ xi sta jotjo, gi jutsuabi made dige'a n'a ra zänä dega k'astabokja"	"nu'a ma r'a ya kä'i mi pädi nuña b'efi bri b'epabi xa yoki yoho ya mpefi mi fädi ko ra tjuju ra amosqueador ko ya xi ya ts'ints'u xi sta jotjo, gi jutsuabi made dige'a n'a ra zänä dega k'astabokja"
