OTQ	OTS
"-pasadores: ""ya nts'äza xi mra nts'u̱t'i mi t'e̱ni ko n'a ra t'e̱nga ts'u̱t'a bo̱ja mi thutuabi ra ballesta""."	"- pasadores: ""ya ntsha za xi mra ntshut'i mi t'eni ko n'a ra t'enga tsht'a boja mi thutuabi ra ballesta""."
"cantares mexicanos, biblioteca nacional de méxico, ya nt'ofo 1628 bis, folio 16 v."	"cantares mexicanos, biblioteca nacional de méxico, ya nt'oho 1628 bis, folio 16 v."
"ebu̱ bi bo̱ni, bi meui nuni nonohualco, ha ra ngu ra b'ongui habu̱ ra gabida ne ra malintzin ne ""ra hyadi"" (alvarado) ne ra sandoval."	"ebu bi buni, bi meui nuni nonohualco, ha ra ngu ra b'ongui habu ra gabida ne ra malintzin ne ""ra hyadi"" (alvarado) ne ra sandoval"
gi handi ra nt'ofo ra thuhu ra crónicas de la conquista	gi handi ra nt'oho ra thuhu ra crónicas de la conquista
"guzmán. ha ya he̱m'i b'e̱tsa je̱ya manteb'u̱ di ge nuua m'onda ne ya hyo, nu'a ra hmä ra 12-conejo (1530) ge xa hmä ge xibú bi yut'i ha ra culhuacan ya ndeznä, nda pablo xochiquetzin, motelchiuhtzin ne ra guzman."	"guzmán. ha ya hem'i b'etsa je'ya mante'b'u di ge nuua m'onda ne ya hyo, nu'a ra hmä ra 12-conejo (1530) ge xa hmä ge xibu bi yut'i ha ra culhuacan ya ndeznä, nda pablo xochiquetzin, motelchiuhtzin ne ra guzman."
"ha ga ñ'udihu̱ ra nt'ofo ya ñämfo̱ po ra nthuts'i ra doctor garibay,"	ha ga ñ'udihu ra nt'oho ya ñämbo po ra nthuts'i ra doctor garibay
ha nu'a hyodi nubia thutuabi ra san martin.	ha nu'a hyodi nubia thutuabi ra san martin
"he̱mi unga mfädi ha ra t'u̱ka hnini habu̱ b'u̱i ya jä'i teni ra división ra arenas, 27 ra abril ra je̱ya 1918, ra m'ets'a he̱m'i ra zapata, b'e̱tsi ha ra universidad nacional autónoma de méxico, expediente 29."	"he̱mi uŋa mfädi ha ra t'u̱ka hnini habu̱ b'u̱i ya jä'i teni ra división ra arenas, 27 ra abril ra je̱ya 1918, ra m'ets'a he̱m'i ra zapata, b'e̱tsi ha ra universidad nacional autónoma de méxico, expediente 29."
"m'e̱fa ha ra hñuti bri thätuabi na ra hñe xki tagiri mo̱te, nehe bri jom'a ra xu̱tha ko n'a ra t'axa dutu mra thuhuu ra ""campanillante""."	"m'efa ha ra hñuti bri thätuabi na ra hñe xki tagiri mo̱te, nehe bri jom'a ra xu̱tha ko n'a ra t'axa dutu mra thuhuu ra ""campanillante""."
"ma dada'ihe gra ts'u̱tui, di ne gi pädi ge ma me̱t'o instä thogihe nuna thogi gatho ya mapa xki r'ani, bi juat'i ko ngeke nu̱'u ri b'e̱go, ri me̱fi ya ñämfo̱, ra nge'a majuäni ra hernando cortés ra ndä gabida,"	"ma dada'ihe gra ts'utui, di ne gi pädi ge ma met'o instä thogihe nuna thogi gatho ya mapa xki r'ani, bi juat'i ko ngeke nu'u ri b'ego, ri mefi ya ñämfo, ra nge'a majuäni ra hernando cortés ra ndä gabida"
mi b'u̱i ya mu̱dimehai mi ñä ra ndeznä ne habu̱ ra hnini dige'a gatho ra nxiki m'onda ngu r'a ya yaqui b'u̱i nuni sonora ne ya maya ri ñ'ehe nuni yucatán ra nge bi guat'i ha ra tuhni bi nja nuua m'onda fädi ko ra thuhu ra revolución mexicana ya je̱ya 1910-1919.	mi bu̱i ya mudimehai mi ñä ra ndeznä ne habu̱ ra hini dige'a gatho ra nxiki m'onda ngu r'a ya yaqui bu̱i nuni sonora ne ya maya ri ñ'ehe nuni yucatán ra nge bi guat'i ha ra tuhni bi nja nuua m'onda fädi ko ra thuhu ra revolución mexicana ya je̱ya 1910-1919.
mi fo̱tuabi ya ts'u̱tnibo̱ja mi thutuabi ya hñämfo̱ ra pasadores nehe ya bo̱zna ko ya nzafi.	mi fo̱tuabi ya ts'u̱tnibo̱ja mi thutuabi ya hñämfo̱ ra pasadores nehe ya bo̱zna ko ya nzafi
"n'a nt'udi di ge'a nuya nthoki bri t'o̱t'e ha ya hñä ya ndeznä ra ngätsi ra nthebe nje̱ya ra r'e̱t'a ma gu̱to (s. xix), r'a ya hnini ngu ra xicontepec (villa juárez) nuna hyodi kohi nuni puebla."	"n'a nt'udi di ge'a nuya nthoki bri t'o̱t'e ha ya hñä ya ndeznä ra ngätsi ra nthebe nje̱ya ra r'e̱t'a ma gu̱to (s. xix), r'a ya hnini ngu ra xicontepec (villa juárez) nuna hyodi kohi nuni puebla"
"n'a ra t'axa dutu mi pe̱tsi ya k'oi ra ixki, nuna mra thuhu hñämfo̱ ""campaneante resonador""."	"n'a ra t'axa dutu mi pe̱tsi ya k'oi ra ixki, nuna mra thuhu hñämfo̱ ""campaneante resonador""."
"ne ri mpe̱fi ha ra dängan gu nt'udi ra thuhu ra facultad de estudios superiores, acatlán, unam,"	"ne ri mbe̱fi ha ra dängan gu nt'udi ra t'uhu ra facultad de estudios superiores, acatlán, unam"
"nthandi gatho nu'a ra munts'i ra thuhu hñämfo̱ ra globalización ge 'a po̱ts'e dega nest'ihi, nuna y'o̱te to̱m'i da nja ra ntho̱mäte."	"nthandi gatho nu'a ra munts'i ra thuhu hñämfo ra globalización ge 'a po̱ts'e dega nest'ihi, nuna y'o̱te to̱m'i da nja ra ntho̱mäte."
