INALI	OTS
"-pasadores: ""ya nts'äza xi mra nts'u̱t'i mi t'e̱ni ko n'a ra t'e̱nga ts'u̱t'a bo̱ja mi thutuabi ra ballesta""."	ya ntza xa mra ntstu̱ti mi teni ko na ra tnga tsu̱ta bo̱xa mi tutuabi ra ballesta
cantares mexicanos, biblioteca nacional de méxico, ya nt'ofo 1628 bis, folio 16 v.	cantares mexicanos, biblioteca nacional de méxico, ya nd'ofo 1628 bis, folio 16 v.
"ebu̱ bi bo̱ni, bi meui nuni nonohualco, ha ra ngu ra b'ongui habu̱ ra gabida ne ra malintzin ne ""ra hyadi"" (alvarado) ne ra sandoval."	"ebu̱ bi bo̱ni, bi meui nuni nonohualco, ha ra ngu ra b'ongui habu̱ ra gabida ne ra malintzin ne ""ra hyadi"" (alvarado) ne ra sandoval"
gi handi ra nt'ofo ra thuhu ra crónicas de la conquista	gi jandi ra nd'ofo ra tuhu ra crónicas de la conquista
guzmán. ha ya he̱m'i b'e̱tsa je̱ya manteb'u̱ di ge nuua m'onda ne ya hyo, nu'a ra hmä ra 12-conejo (1530) ge xa hmä ge xibú bi yut'i ha ra culhuacan ya ndeznä, nda pablo xochiquetzin, motelchiuhtzin ne ra guzman.	Guzmán. Ha ya hem'i be̱tsa je̱ya mante̱b'u di ge nuua m'onda ne ya hyo, nu'a ra hmä ra 12-conejo (1530) ge xa hmä ge xibú bi yut'i ha ra Culhuacan ya ndeznä, nda Pablo Xochiquetzin, Motelchiuhtzin ne ra Guzman.
ha ga ñ'udihu̱ ra nt'ofo ya ñämfo̱ po ra nthuts'i ra doctor garibay,	ha ga ŋ'udihu ra nt'oho ya ŋämfo po ra nthuts'i ra doctor garibay,
ha nu'a hyodi nubia thutuabi ra san martin.	ha nua hyodi nubia thutuabi ra san martin
he̱mi unga mfädi ha ra t'u̱ka hnini habu̱ b'u̱i ya jä'i teni ra división ra arenas, 27 ra abril ra je̱ya 1918, ra m'ets'a he̱m'i ra zapata, b'e̱tsi ha ra universidad nacional autónoma de méxico, expediente 29.	he̱mi unga mfädi ha ra t'uka hnini habu̱ b'u̱i ya jä'i teni ra división ra arenas, 27 ra abril ra je̱ya 1918, ra m'ets'a he̱m'i ra zapata, b'etsi ha ra universidad nacional autónoma de méxico, expediente 29.
"m'e̱fa ha ra hñuti bri thätuabi na ra hñe xki tagiri mo̱te, nehe bri jom'a ra xu̱tha ko n'a ra t'axa dutu mra thuhuu ra ""campanillante""."	"m'efa ha ra hñuti bri thätuabi na ra hñe xki tagiri mo̱te, nehe bri jom'a ra xu̱tha ko n'a ra t'axa dutu mra thuhuu ra ""campanillante"""
ma dada'ihe gra ts'u̱tui, di ne gi pädi ge ma me̱t'o instä thogihe nuna thogi gatho ya mapa xki r'ani, bi juat'i ko ngeke nu̱'u ri b'e̱go, ri me̱fi ya ñämfo̱, ra nge'a majuäni ra hernando cortés ra ndä gabida,	ma dada'ihe gra ts'utui, di ne gi pädi ge ma met'o insta thogihe nuna thogi gatho ya mapa xki r'ani, bi juati ko ngeke nu'u ri b'ego, ri mefi ya ñamfo, ra nge'a majuani ra hernando cortés ra nda gabida,
