OTQ	OTS
"-pasadores: ""ya nts'äza xi mra nts'u̱t'i mi t'e̱ni ko n'a ra t'e̱nga ts'u̱t'a bo̱ja mi thutuabi ra ballesta""."	"OTS: ""ya ntza xi mra ntut'i mi teni ko na ra tengá tsut'a boja mi tutuavi ra ballesta""."
cantares mexicanos, biblioteca nacional de méxico, ya nt'ofo 1628 bis, folio 16 v.	OTS: cantares mexicanos, biblioteca nacional de méxico, ya nd'ofo 1628 bis, folio 16 v.
"ebu̱ bi bo̱ni, bi meui nuni nonohualco, ha ra ngu ra b'ongui habu̱ ra gabida ne ra malintzin ne ""ra hyadi"" (alvarado) ne ra sandoval."	"ebu̱ bi bo̱ni, bi meui nuni nonohualco, ha ra ngu ra b'ongui habu̱ ra gabida ne ra malintzin ne ""ra hyadi"" (alvarado) ne ra sandoval"
gi handi ra nt'ofo ra thuhu ra crónicas de la conquista	gi jandi ra nd'ofo ra thuho ra crónicas de la conquista
guzmán. ha ya he̱m'i b'e̱tsa je̱ya manteb'u̱ di ge nuua m'onda ne ya hyo, nu'a ra hmä ra 12-conejo (1530) ge xa hmä ge xibú bi yut'i ha ra culhuacan ya ndeznä, nda pablo xochiquetzin, motelchiuhtzin ne ra guzman.	guzmán. ha ya hem'i be̱tsa je̱ya mante̱b'u di ge nuua m'onda ne ya hyo, nu'a ra hmä ra 12-conejo (1530) ge xa hmä ge xibú bi yut'i ha ra culhuacan ya ndeznä, nda pablo xochiquetzin, motelchiuhtzin ne ra guzman.
ha ga ñ'udihu̱ ra nt'ofo ya ñämfo̱ po ra nthuts'i ra doctor garibay,	ha ga ñ'udihu ra nt'oho ya ñämfo po ra nthuts'i ra doctor garibay,
ha nu'a hyodi nubia thutuabi ra san martin.	ha nua hyodi nubia thutuabi ra san martin.
he̱mi unga mfädi ha ra t'u̱ka hnini habu̱ b'u̱i ya jä'i teni ra división ra arenas, 27 ra abril ra je̱ya 1918, ra m'ets'a he̱m'i ra zapata, b'e̱tsi ha ra universidad nacional autónoma de méxico, expediente 29.	he̱mi uŋga mfädi ha ra t'uka hnini habu̱ b'ui ya jä'i teni ra división ra arenas, 27 ra abril ra je̱ya 1918, ra m'ets'a he̱m'i ra zapata, b'etsi ha ra universidad nacional autónoma de méxico, expediente 29.
"m'e̱fa ha ra hñuti bri thätuabi na ra hñe xki tagiri mo̱te, nehe bri jom'a ra xu̱tha ko n'a ra t'axa dutu mra thuhuu ra ""campanillante""."	"m'efa ha ra hñuti bri thätuabi na ra hñe xki tagiri mo̱te, nehe bri jom'a ra xu̱tha ko n'a ra t'axa dutu mra thuhuu ra ""campanillante""."
ma dada'ihe gra ts'u̱tui, di ne gi pädi ge ma me̱t'o instä thogihe nuna thogi gatho ya mapa xki r'ani, bi juat'i ko ngeke nu̱'u ri b'e̱go, ri me̱fi ya ñämfo̱, ra nge'a majuäni ra hernando cortés ra ndä gabida,	ma dada'ihe gra ts'utui, di ne gi pädi ge ma met'o inste thogihe nuna thogi gatho ya mapa xki r'ani, bi juati ko ngeke nu'u ri b'ego, ri mefi ya ñamfo, ra nge'a majuañi ra hernando cortés ra nda gabida,
mi b'u̱i ya mu̱dimehai mi ñä ra ndeznä ne habu̱ ra hnini dige'a gatho ra nxiki m'onda ngu r'a ya yaqui b'u̱i nuni sonora ne ya maya ri ñ'ehe nuni yucatán ra nge bi guat'i ha ra tuhni bi nja nuua m'onda fädi ko ra thuhu ra revolución mexicana ya je̱ya 1910-1919.	mi bʼi ya mudimejai mi ñä ra ndejnä ne habʼi ra hni ni digeʼa gato ra nxiki mʼonda ngu rʼa ya yaqui bʼi nuni sonora ne ya maya ri ñʼehe nuni yucatán ra nge bi gwati ha ra tuhni bi nja nuʼa mʼonda fädi ko ra tuhu ra revolución mexicana ya xe̱ya 1910-1919.
mi fo̱tuabi ya ts'u̱tnibo̱ja mi thutuabi ya hñämfo̱ ra pasadores nehe ya bo̱zna ko ya nzafi.	mi fõtúabi ya c'útníboja mi tutúabi ya ñämfõ ra pasadores nehe ya bõzna ko ya nzáfi.
n'a nt'udi di ge'a nuya nthoki bri t'o̱t'e ha ya hñä ya ndeznä ra ngätsi ra nthebe nje̱ya ra r'e̱t'a ma gu̱to (s. xix), r'a ya hnini ngu ra xicontepec (villa juárez) nuna hyodi kohi nuni puebla.	n'a nt'udi di ge'a nuya nthoki bri t'o̱te ha ya hñä ya ndeznä ra ngätsi ra nthebe nje̱ya ra r'e̱ta ma gu̱to (s. xix), r'a ya hnini ngu ra xicontepec (villa juárez) nuna hyodi kohi nuni puebla.
"n'a ra t'axa dutu mi pe̱tsi ya k'oi ra ixki, nuna mra thuhu hñämfo̱ ""campaneante resonador""."	"OTS: n'a ra t'axa dutu mi pe̱tsi ya k'oi ra ixki, nuna mra thuhi hñä̃mfo̱ ""campaneante resonador""."
ne ri mpe̱fi ha ra dängan gu nt'udi ra thuhu ra facultad de estudios superiores, acatlán, unam,	ne ri mpʼehi ha ra dängan gu nt'udi ra t'uhu ra facultad de estudios superiores, acatlán, unam,
nthandi gatho nu'a ra munts'i ra thuhu hñämfo̱ ra globalización ge 'a po̱ts'e dega nest'ihi, nuna y'o̱te to̱m'i da nja ra ntho̱mäte.	nthandi gato nu'a ra munt'i ra tuhu hñämp'o ra globalización ge 'a po̱t'e dega nest'ih'i, nuna y'ote tom'i da nia ra nthom'ate.
nu'a ma r'a ya jä'i mi pädi nuña b'e̱fi bri b'e̱pabi xa hyoki yoho ya mpe̱fi mi fädi ko ra thuhu ra amosqueador ko ya xi ya ts'ints'u̱ xi sta hotho, gi hutsuabi made dige'a n'a ra zänä dega k'astaboja	nu'a ma r'a ya jä'i mi pädi nuña b'efi bri b'epabi xa hyoki yoho ya mpëfi mi fädi ko ra t'uhu ra amosqueador ko ya xi ya ts'ints'u xi sta hoto, gi hutsuabi made dige'a n'a ra zänä dega k'astaboja
