OTS	OTQ
"-pasadores: ""ya nts'äza xi mra nts'u̱t'i mi t'e̱ni ko n'a ra t'e̱nga ts'u̱t'a bo̱kja mi tjutuabi ra ballesta""."	"OTQ: ""ya ntza xa mra ntut'i mi te̱ni ko na ra te̱nga tsut'a bogja mi tjutuabi ra ballesta""."
cantares mexicanos, biblioteca nacional de méxico, ya nt'ofo 1628 bis, folio 16 v.	cantares mexicanos, biblioteca nacional de méxico, ya nd'ofo 1628 bis, folio 16 v.
"ebu̱ bi bo̱ni, bi meui nuni nonohualco, ja ra ngu ra b'ongui jabu̱ ra gabida ne ra malintzin ne ""ra jyadi"" (alvarado) ne ra sandoval."	"OTQ: ebu̱ bi bo̱ni, bi meui nuni nonohualco, ja ra ngu ra b'ongui jabu̱ ra gabida ne ra malintzin ne ""ra dyadi"" (alvarado) ne ra sandoval."
gi jandi ra nt'ofo ra tjuju ra crónicas de la conquista	gi xandi ra nd'ofo ra tyuju ra crónicas de la conquista
guzmán. ja ya je̱m'i b'e̱tsa kje̱ya manteb'u̱ di ge nuua m'onda ne ya jyo, nu'a ra jmä ra 12-conejo (1530) ge xa jmä ge xibú bi yut'i ja ra culhuacan ya ndeznä, nda pablo xochiquetzin, motelchiuhtzin ne ra guzman.	guzmán. ja ya je̱hmi b'ehza kje̱ya manteu̱ di ge nu'a m'onda ne ya jyo, nu'a ra hmä ra 12-conejo (1530) ge xa hmä ge xibu̱ bi yuti ja ra culhuacan ya ndeznä, nda pablo xochiquetzin, motelchiuhtzin ne ra guzman.
ja ga ñ'udiju̱ ra nt'ofo ya ñämfo̱ po ra ntjuts'i ra doctor garibay,	ja ga ñ'ujiu ra nd'ofo ya ñämfo po ra ndjuts'i ra doctor garibay,
ja nu'a jyodi nubia tjutuabi ra san martin.	ja nu'a jyodi nubia tjutuabi ra san martin.
je̱mi unga mfädi ja ra t'u̱ka jnini jabu̱ b'u̱i ya kjä'i teni ra división ra arenas, 27 ra abril ra kje̱ya 1918, ra m'ets'a je̱m'i ra zapata, b'e̱tsi ja ra universidad nacional autónoma de méxico, expediente 29.	jemí unga mfädi ja ra t'uka jnini jabu b'ui ya kjä'i teni ra división ra arenas, 27 ra abril ra kje'ya 1918, ra m'ets'a jem'i ra zapata, b'etsi ja ra universidad nacional autónoma de méxico, expediente 29.
"m'e̱fa ja ra jñuti bri tjätuabi na ra jñe xki tagiri mo̱te, neje bri kjom'a ra xu̱tja ko n'a ra t'axa dutu mra tjujuu ra ""campanillante""."	"m'efa ja ra jñuti bri tjahtuabi na ra jñe xki tagiri mo̱te, neje bri kjoma ra xutja ko n'a ra t'aha dutu mra tjujuu ra ""campanillante""."
ma dada'ije gra ts'u̱tui, di ne gi pädi ge ma me̱t'o instä tjogije nuna tjogi gatjo ya mapa xki r'ani, bi kjuat'i ko ngeke nu̱'u ri b'e̱go, ri me̱fi ya ñämfo̱, ra nge'a makjuäni ra hernando cortés ra ndä gabida,	ma dada'ije gra ts'utui, di ne gi pädi ge ma met'o inste tjogije nuna tjogi gatjo ya mapa xki r'ani, bi kjuat'i ko ngeke nu'u ri b'ego, ri mefi ya ñamfo, ra nge'a makjuani ra hernando cortés ra nda gabida,
