Input	Result
"-pasadores: ""ya nts'äza xi mra nts'u̱t'i mi t'e̱ni ko n'a ra t'e̱nga ts'u̱t'a bo̱kja mi tjutuabi ra ballesta""."	Ya ntśäza xi mra ntś'u̱ti mi t'ēni ko n'a ra t'ēnga ts'u̱ta bo̱kya mi tjutuabi ra balesta.
"cantares mexicanos, biblioteca nacional de méxico, ya nt'ofo 1628 bis, folio 16 v."	"Cantares mexicanos, biblioteca nacional de México, ya nt'öfö 1628 bis, folio 16 v."
"ebu̱ bi bo̱ni, bi meui nuni nonohualco, ja ra ngu ra b'ongui jabu̱ ra gabida ne ra malintzin ne ""ra jyadi"" (alvarado) ne ra sandoval."	"Ebú̱ bi bó̱ni, bi meui nuni nonohualco, ja ra ngu ra b'o̱ngui jabú̱ ra gabida ne ra malintzin ne ""ra jyadi"" (Alvarado) ne ra Sandoval."
gi jandi ra nt'ofo ra tjuju ra crónicas de la conquista	Gi xandi ra nt'oho ra xuxu ra crónicas de la conquista
"guzmán. ja ya je̱m'i b'e̱tsa kje̱ya manteb'u̱ di ge nuua m'onda ne ya jyo, nu'a ra jmä ra 12-conejo (1530) ge xa jmä ge xibú bi yut'i ja ra culhuacan ya ndeznä, nda pablo xochiquetzin, motelchiuhtzin ne ra guzman."	"Guzmán. Ja ya je̱m'i b'e̱tsa kje̱ya manteb'u̱ di ge nuua m'onda ne ya jyo, nu'a ra jmä ra 12-Conejo (1530) ge xa jmä ge xibú bi yut'i ja ra Culhuacan ya ndeznä, Nda Pablo Xochiquetzin, Motelchiuhtzin ne ra Guzmán."
"ja ga ñ'udiju̱ ra nt'ofo ya ñämfo̱ po ra ntjuts'i ra doctor garibay,"	"Ja ga ñ'uɟiju ra nt'ofu ya ñämfu po ra ntjuts'i ra doctor Garibay,"
ja nu'a jyodi nubia tjutuabi ra san martin.	Ja nu'a jyodi nubia tjutuabi ra San Martín.
"je̱mi unga mfädi ja ra t'u̱ka jnini jabu̱ b'u̱i ya kjä'i teni ra división ra arenas, 27 ra abril ra kje̱ya 1918, ra m'ets'a je̱m'i ra zapata, b'e̱tsi ja ra universidad nacional autónoma de méxico, expediente 29."	"Jëmi uŋga mfädi ja ra t'uka jnini jabu b'ui ya kjä'i teni ra división ra arenas, 27 ra abril ra këya 1918, ra m'ets'a jëmi ra Zapata, b'etsi ja ra Universidad Nacional Autónoma de México, expediente 29."
"m'e̱fa ja ra jñuti bri tjätuabi na ra jñe xki tagiri mo̱te, neje bri kjom'a ra xu̱tja ko n'a ra t'axa dutu mra tjujuu ra ""campanillante""."	"M'efa ja ra ñuti bri tätuabi na ra ñe xki tagiri mohte, neje bri kjom'a ra xutja ko n'a ra t'axa dutu mra tjujuu ra ""campanillante""."
"ma dada'ije gra ts'u̱tui, di ne gi pädi ge ma me̱t'o instä tjogije nuna tjogi gatjo ya mapa xki r'ani, bi kjuat'i ko ngeke nu̱'u ri b'e̱go, ri me̱fi ya ñämfo̱, ra nge'a makjuäni ra hernando cortés ra ndä gabida,"	"Ma dada'ije gra ts'utui, di ne gi pädi ge ma met'o instä tjogije nuna tjogi gatjo ya mapa xki r'ani, bi kjuat'i ko ngeke nu'u ri b'ego, ri mefi ya ñamfo, ra nge'a makjuani ra Hernando Cortés ra ndä gabida,"
