Input	Result
"-pasadores: ""ya nts'äza xi mra nts'u̱t'i mi t'e̱ni ko n'a ra t'e̱nga ts'u̱t'a bo̱kja mi tjutuabi ra ballesta""."	"Pasadores: ""ya nts'äza xi mra nts'u̱t'i mi t'e̱ni ko n'a ra t'e̱nga ts'u̱t'a bo̱kja mi tjutuabi ra ballesta""."
cantares mexicanos, biblioteca nacional de méxico, ya nt'ofo 1628 bis, folio 16 v.	Cantares mexicanos, Biblioteca Nacional de México, ya nt'ofo 1628 bis, folio 16 v.
"ebu̱ bi bo̱ni, bi meui nuni nonohualco, ja ra ngu ra b'ongui jabu̱ ra gabida ne ra malintzin ne ""ra jyadi"" (alvarado) ne ra sandoval."	"Ebu̱ bi bo̱ni, bi meui nuni nonohualco, ja ra ngu ra b'ongui jabu̱ ra gabida ne ra Malintzin ne ""ra Jyadi"" (Alvarado) ne ra Sandoval."
gi jandi ra nt'ofo ra tjuju ra crónicas de la conquista	gi jandi ra nt'ofo ra t'u'u ra krónikas de la konkista
guzmán. ja ya je̱m'i b'e̱tsa kje̱ya manteb'u̱ di ge nuua m'onda ne ya jyo, nu'a ra jmä ra 12-conejo (1530) ge xa jmä ge xibú bi yut'i ja ra culhuacan ya ndeznä, nda pablo xochiquetzin, motelchiuhtzin ne ra guzman.	Guzmán. Ja ya jem'i b'e̱tsa kje̱ya manteb'u̱ di ge nuua m'onda ne ya jyo, nu'a ra jmä ra 12-conejo (1530) ge xa jmä ge xibú bi yut'i ja ra Culhuacan ya ndeznä, nda Pablo Xochiquetzin, Motelchiuhtzin ne ra Guzmán.
ja ga ñ'udiju̱ ra nt'ofo ya ñämfo̱ po ra ntjuts'i ra doctor garibay,	Ja ga ñ'udiju ra nt'ofo ya ñämfo po ra ntjuts'i ra doctor garibay.
ja nu'a jyodi nubia tjutuabi ra san martin.	Ja nu'a jyodi nubia tjutuabi ra San Martín.
je̱mi unga mfädi ja ra t'u̱ka jnini jabu̱ b'u̱i ya kjä'i teni ra división ra arenas, 27 ra abril ra kje̱ya 1918, ra m'ets'a je̱m'i ra zapata, b'e̱tsi ja ra universidad nacional autónoma de méxico, expediente 29.	Jemi unga mfädi ja ra t'u̱ka jnini jabu̱ b'u̱i ya kjä'i teni ra división ra arenas, 27 ra abril ra kje̱ya 1918, ra m'ets'a je̱m'i ra zapata, b'e̱tsi ja ra universidad nacional autónoma de méxico, expediente 29.
"m'e̱fa ja ra jñuti bri tjätuabi na ra jñe xki tagiri mo̱te, neje bri kjom'a ra xu̱tja ko n'a ra t'axa dutu mra tjujuu ra ""campanillante""."	"M'efa ja ra jñuti bri tjätuabi na ra jñe xki tagiri mo̱te, neje bri kjom'a ra xu̱tja ko n'a ra t'axa dutu mra tjujuu ra ""campanillante"". 

[INALI standardized version] 

M'efa ja ra jñuti bri tjätuabi na ra jñe xki tagiri mo̱te, neje bri kjom'a ra xu̱tja ko n'a ra t'axa dutu mra tjujuu ra ""campanillante""."
ma dada'ije gra ts'u̱tui, di ne gi pädi ge ma me̱t'o instä tjogije nuna tjogi gatjo ya mapa xki r'ani, bi kjuat'i ko ngeke nu̱'u ri b'e̱go, ri me̱fi ya ñämfo̱, ra nge'a makjuäni ra hernando cortés ra ndä gabida,	Ma dada'ije gra ts'u̱tui, di ne gi pädi ge ma me̱t'o instä tjogije nuna tjogi gatjo ya mapa xki r'ani, bi kjuat'i ko ngeke nu̱'u ri b'e̱go, ri me̱fi ya ñämfo̱, ra nge'a makjuäni ra Hernando Cortés ra ndä gabida.
mi b'u̱i ya mu̱dimejai mi ñä ra ndeznä ne jabu̱ ra jnini dige'a gatjo ra nxiki m'onda ngu r'a ya yaqui b'u̱i nuni sonora ne ya maya ri ñ'eje nuni yucatán ra nge bi guat'i ja ra tujni bi nkja nuua m'onda fädi ko ra tjuju ra revolución mexicana ya kje̱ya 1910-1919.	Mi b'u̱i ya mu̱dimejai mi ñä ra ndeznä ne jabu̱ ra jnini dige'a gatjo ra nxiki m'onda ngu r'a ya yaqui b'u̱i nuni sonora ne ya maya ri ñ'eje nuni yucatán ra nge bi guat'i ja ra tujni bi nkja nuua m'onda fädi ko ra tjuju ra revolución mexicana ya kje̱ya 1910-1919.
mi fo̱tuabi ya ts'u̱tnibo̱kja mi tjutuabi ya jñämfo̱ ra pasadores neje ya bo̱zna ko ya nzafi.	mi fotuabi ya ts'utnibokja mi tjutuabi ya jñamfo ra pasadores neje ya bozna ko ya nzafi.
