Input	Result
"-pasadores: ""ya nts'äza xi mra nts'u̱t'i mi t'e̱ni ko n'a ra t'e̱nga ts'u̱t'a bo̱kja mi tjutuabi ra ballesta""."	Ya nts'äza xi mra nts'u̱t'i mi t'e̱ni ko n'a ra t'e̱nga ts'u̱t'a bo̱kja mi tjutuabi ra ballesta.
cantares mexicanos, biblioteca nacional de méxico, ya nt'ofo 1628 bis, folio 16 v.	Cantares Mexicanos, Biblioteca Nacional de México, ya nt’otho 1628 bis, folio 16 v.
"ebu̱ bi bo̱ni, bi meui nuni nonohualco, ja ra ngu ra b'ongui jabu̱ ra gabida ne ra malintzin ne ""ra jyadi"" (alvarado) ne ra sandoval."	"Ebo̱ bi bo̱ni, bi meui nuni nonohualco, ja ra ngu ra b'ongui jabu̱ ra gabida ne ra Malintzin ne ""ra Jyadi"" (Alvarado) ne ra Sandoval."
gi jandi ra nt'ofo ra tjuju ra crónicas de la conquista	gi jandi ra nt’ofo ra t’ot’u ra crónicas de la conquista
guzmán. ja ya je̱m'i b'e̱tsa kje̱ya manteb'u̱ di ge nuua m'onda ne ya jyo, nu'a ra jmä ra 12-conejo (1530) ge xa jmä ge xibú bi yut'i ja ra culhuacan ya ndeznä, nda pablo xochiquetzin, motelchiuhtzin ne ra guzman.	Guzmán. Ja ya jämi bët'a këya manteb'u di ge nuwa m'onda ne ya jyo, nu'a ra jmä ra 12-Conejo (1530) ge xa jmä ge xibú bi yut'i ja ra Culhuacan ya ndeznä, nda Pablo Xochiquetzin, Motelchiuhtzin ne ra Guzmán.
ja ga ñ'udiju̱ ra nt'ofo ya ñämfo̱ po ra ntjuts'i ra doctor garibay,	Xa ga ñ'udi̱ju̱ ra nt'ofo ya ñämfo̱ po̱ ra nt'uts'i ra doctor Garibay.
ja nu'a jyodi nubia tjutuabi ra san martin.	Xa nu'ä yodi nu'bya thuthäbi ra San Martín.
je̱mi unga mfädi ja ra t'u̱ka jnini jabu̱ b'u̱i ya kjä'i teni ra división ra arenas, 27 ra abril ra kje̱ya 1918, ra m'ets'a je̱m'i ra zapata, b'e̱tsi ja ra universidad nacional autónoma de méxico, expediente 29.	Jämi unga mfädi ja ra t'uka jnini jabu b'ui ya kjä'i teni ra división ra arenas, 27 ra abril ra kje̱ya 1918, ra m'ets'a jämi ra zapata, b'etsi ja ra universidad nacional autónoma de méxico, expediente 29.
"m'e̱fa ja ra jñuti bri tjätuabi na ra jñe xki tagiri mo̱te, neje bri kjom'a ra xu̱tja ko n'a ra t'axa dutu mra tjujuu ra ""campanillante""."	"M'efa ha ra ñuti hñä t'ätuabi na ra ñä xki tagi mo̱te, neje hñä kom'a ra xutja ko n'a ra t'axa dutu mra tjuju ra ""campanillante""."
ma dada'ije gra ts'u̱tui, di ne gi pädi ge ma me̱t'o instä tjogije nuna tjogi gatjo ya mapa xki r'ani, bi kjuat'i ko ngeke nu̱'u ri b'e̱go, ri me̱fi ya ñämfo̱, ra nge'a makjuäni ra hernando cortés ra ndä gabida,	Ma dadai xe gra ts'utui, di ne gi pädi ge ma met'o instä tjogije nuna tjogi gatjo ya mapa xki r'ani, bi kjuat'i ko ngeke nu'u ri b'ego, ri mefi ya ñämfo, ra nge'a makjuäni ra Hernando Cortés ra ndä gabida.
mi b'u̱i ya mu̱dimejai mi ñä ra ndeznä ne jabu̱ ra jnini dige'a gatjo ra nxiki m'onda ngu r'a ya yaqui b'u̱i nuni sonora ne ya maya ri ñ'eje nuni yucatán ra nge bi guat'i ja ra tujni bi nkja nuua m'onda fädi ko ra tjuju ra revolución mexicana ya kje̱ya 1910-1919.	Mi b'ui ya mu̱dimehai mi ñä ra ndezna ne ja̱bu̱ ra jnini digea gatjo ra nxiki m'onda ngu ra ya ya̱ki b'ui nuni Sonora ne ya maya ri ñ'eje nuni Yucatán ra nge bi guat'i ja ra tujni bi nkja nu̱a m'onda fädi ko ra tjuju ra Revolución Mexicana ya kje̱ya 1910-1919.
mi fo̱tuabi ya ts'u̱tnibo̱kja mi tjutuabi ya jñämfo̱ ra pasadores neje ya bo̱zna ko ya nzafi.	Mi fotuabi ya ts'utnibokjä mi tjutuabi ya ñämfo ra pasadores neje ya bozna ko ya nzafi.
n'a nt'udi di ge'a nuya ntjoki bri t'o̱t'e ja ya jñä ya ndeznä ra ngätsi ra ntjebe nkje̱ya ra r'e̱t'a ma gu̱to (s. xix), r'a ya jnini ngu ra xicontepec (villa juárez) nuna jyodi koji nuni puebla.	N'a nt'udi di ge'a nuya nt'oki bri t'ot'e ja ya jñä ya ndeznä ra ngätsi ra nt'ebe nkje̱ya ra r'et'a ma guto (s. xix), r'a ya jnini ngu ra Xicontepec (Villa Juárez) nuna jyodi koji nuni Puebla.
"n'a ra t'axa dutu mi pe̱tsi ya k'oi ra ixki, nuna mra tjuju jñämfo̱ ""campaneante resonador""."	"N'a ra t'axa duthu mi pe̱tsi ya k'oi ra ixki, nuna mra tjuju ñämfo̱ ""kampaneante resonador""."
ne ri mpe̱fi ja ra dängan gu nt'udi ra tjuju ra facultad de estudios superiores, acatlán, unam,	Ne rï mpefi ya ra dängandë go nt’udi ra t’utju ra Facultad de Estudios Superiores, Acatlán, UNAM.
ntjandi gatjo nu'a ra munts'i ra tjuju jñämfo̱ ra globalización ge 'a po̱ts'e dega nest'iji, nuna y'o̱te to̱m'i da nkja ra ntjo̱mäte.	Nt'andi ga̱tho nu'a ra mints'i ra t'utju ñämfo̱ ra globalización ge 'a po̱ts'e dega nest'iji, nuna y'o̱te to̱m'i da nkja ra ntjo̱mäte.
nu'a ma r'a ya kjä'i mi pädi nuña b'e̱fi bri b'e̱pabi xa jyoki yojo ya mpe̱fi mi fädi ko ra tjuju ra amosqueador ko ya xi ya ts'ints'u̱ xi sta jotjo, gi jutsuabi made dige'a n'a ra zänä dega k'astabokja	Nu'ä ma rä ya kjä'i mi pädi nuña b'ëfi bri b'ëpabi xa jyoki yojo ya mpëfi mi fädi ko ra tjuju ra amosqueador ko ya xi ya ts'ints'ü xi sta jotjo, gi jutsuabi made dige'a n'a ra zänä dega k'astabokjä.
"nu'a ra munts'a kjä'i bi te̱ni bi zipabi man'a ya b'ede, mi t'ena ge ya kjä'i xki b'u̱i nubu̱ inbi pe̱tsi ra ts'e̱di nu'a mi mä pe m'e̱fa bi kjapi bi nxaxni ya tsu̱tui ne n'a ra diputado mi pe̱tsi ra mfeni xki kot'i mra tjuju ra josé maría lozano, bi y'onga ra jmä pa mar'a ya ñ'oui bi nxanxi: ""ri mo̱te ra tjits'i mi udi ra emiliano zapata, neje bri fädi ngu ra atila nuna bri nkju̱tsi [...] nu'a bi fädi ngu mi je̱gi ya b'e̱go ne'a bi mä da uni da nkja pa gatjo, ingi kjot'i [...]"	"Nu'a ra múnthä kjä'i bi te̱ni bi zipabi man'a ya b'ede, mi t'ena ge ya kjä'i xki b'u̱i nubu̱ inbi pe̱tsi ra ts'e̱di nu'a mi mä pe m'e̱fa bi kjapi bi nxaxni ya tsu̱tui ne n'a ra diputado mi pe̱tsi ra mfeni xki kot'i mra tjuju ra José María Lozano, bi y'onga ra jmä pa mar'a ya ñ'oui bi nxanxi: ""Ri mo̱te ra tjits'i mi udi ra Emiliano Zapata, neje bri fädi ngu ra Atila nuna bri nkju̱tsi [...] nu'a bi fädi ngu mi je̱gi ya b'e̱go ne'a bi mä da uni da nkja pa gatjo, ingi kjot'i [...]"
nu'u̱ to'o ñä ra ndenzä ja r'e̱t'a ma r'at'o ya estados.	ñu'u to'o ñä ra nthe̱nthe̱ ja r'e̱t'a ma r'at'o ya estados.
