	tetragrama	Palabra	Aparece en:	OTS	INALI	OTQ	RFE	fon
0	huan	Cuautlehuanitzin,	Francisco de San Antón Muñón Chimalpain Cuautlehuanitzin, VII relación.	frantsistso de san antón muñón chimalpain tsuautlejuanitzin, vii relatsión.	frantsistso de san antón muñón chimalpain tsuautlehuanitzin, vii relatsión.	frantsistso de san antón muñón tximalpain tsuautlehuanitzin, vii relatsión.	phrancisco de san antón muñón čimalpain cuautlehuanitzin, vii relación.	ɸɾant͡sist͡so de san antón muɲón t͡ʃimalpain t͡suautlehuanitzin, vii relat͡sión.
1	huan	Cohuanacotzin	Xki thete ra Ixtlilxóchitl ne ra ku ra Cohuanacotzin ko ya he dega dänga ndä bi mu̱di da häni ra hoga ts'ofo ya evangelio,	xki tjete ra ixtlilxóchitl ne ra ku ra tsojuanatsotzin ko ya je dega dänga ndä bi mu̱di da jäni ra joga ts'ofo ya evangelio,	xki thete ra ixtlilxóchitl ne ra ku ra tsohuanatsotzin ko ya he dega dänga ndä bi mu̱di da häni ra hoga ts'ofo ya evangelio,	xki thete ra ixtlilxótxitl ne ra ku ra tsohuanatsotzin ko ya he dega dänga ndä bi mu̱di da häni ra hoga ts'ofo ya evangelio,	ški thete ra ištlilšóčitl ne ra ku ra cohuanacotzin ko ya he dega dᶏnga ndᶏ bi mɨdi da hᶏni ra hoga cʔopho ya evangelio,	ʃki thete ra iʃtlilʃót͡ʃitl ne ra ku ra t͡sohuanat͡sotzin ko ja he dega dãnga ndã bi mɨdi da hãni ra hoga t͡sʔoɸo ja evangelio,
2	huan	Cohuanacotzin	ge'a ra mu̱di ra thuhu ra Hernando, ra nge'a njabu̱ mra thuhu ra takjä ra Cortés nehe njabu̱ mra thuhu ra Ndä Catolico ne ra ku ra Cohuanacotzin bi thutuabi ra Pedro po ra Pedro Alvarado ra nge'a ra takjä,	ge'a ra mu̱di ra tjuju ra jernando, ra nge'a njabu̱ mra tjuju ra takjä ra tsortés neje njabu̱ mra tjuju ra ndä tsatolitso ne ra ku ra tsojuanatsotzin bi tjutuabi ra pedro po ra pedro alvarado ra nge'a ra takjä,	ge'a ra mu̱di ra thuhu ra hernando, ra nge'a njabu̱ mra thuhu ra takjä ra tsortés nehe njabu̱ mra thuhu ra ndä tsatolitso ne ra ku ra tsohuanatsotzin bi thutuabi ra pedro po ra pedro alvarado ra nge'a ra takjä,	ge'a ra mu̱di ra thuhu ra hernando, ra nge'a njabu̱ mra thuhu ra takjä ra tsortés nehe njabu̱ mra thuhu ra ndä tsatolitso ne ra ku ra tsohuanatsotzin bi thutuabi ra pedro po ra pedro alvarado ra nge'a ra takjä,	geʔa ra mɨdi ra thuhu ra hernando, ra ngeʔa nkhabɨ mra thuhu ra takkhᶏ ra cortés nehe nkhabɨ mra thuhu ra ndᶏ catolico ne ra ku ra cohuanacotzin bi thutuabi ra pedro po ra pedro alvarado ra ngeʔa ra takkhᶏ,	geʔa ra mɨdi ra thuhu ra heɾnando, ra ngeʔa nkhabɨ mɾa thuhu ra takkhã ra t͡soɾtés nehe nkhabɨ mɾa thuhu ra ndã t͡satolit͡so ne ra ku ra t͡sohuanat͡sotzin bi thutuabi ra pedɾo po ra pedɾo alvaɾado ra ngeʔa ra takkhã,
3	huan	Tehuantepec,	Ne njabu̱ bri t'ot'e nehe ko mar'a ya bo̱nahmu mi pe̱tsi ra t'u̱ka tsu̱tui ha ya t'u̱ka hnini, nuyu̱ to'o mi b'e̱pi da t'o̱t'e ngu nuni Xalapan, Tlaxcalan, Tehuantepec, Oaxaca nehe mar'a ya bo̱nahmu mar'a ya t'u̱ka hnini habu̱ bi guat'i ya nduste, ya dumanthuhu dega k'astaboja, ge ya thuhu ya kristiano [...]	ne njabu̱ bri t'ot'e neje ko mar'a ya bo̱najmu mi pe̱tsi ra t'u̱ka tsu̱tui ja ya t'u̱ka jnini, nuyu̱ to'o mi b'e̱pi da t'o̱t'e ngu nuni xalapan, tlaxtsalan, tejuantepets, oaxatsa neje mar'a ya bo̱najmu mar'a ya t'u̱ka jnini jabu̱ bi guat'i ya nduste, ya dumantjuju dega k'astaboja, ge ya tjuju ya kristiano [...]	ne njabu̱ bri t'ot'e nehe ko mar'a ya bo̱nahmu mi pe̱tsi ra t'u̱ka tsu̱tui ha ya t'u̱ka hnini, nuyu̱ to'o mi b'e̱pi da t'o̱t'e ngu nuni xalapan, tlaxtsalan, tehuantepets, oaxatsa nehe mar'a ya bo̱nahmu mar'a ya t'u̱ka hnini habu̱ bi guat'i ya nduste, ya dumanthuhu dega k'astaboja, ge ya thuhu ya kristiano [...]	ne njabu̱ bri t'ot'e nehe ko mar'a ya bo̱nahmu mi pe̱tsi ra t'u̱ka tsu̱tui ha ya t'u̱ka hnini, nuyu̱ to'o mi b'e̱pi da t'o̱t'e ngu nuni xalapan, tlaxtsalan, tehuantepets, oaxatsa nehe mar'a ya bo̱nahmu mar'a ya t'u̱ka hnini habu̱ bi guat'i ya nduste, ya dumanthuhu dega k'astaboja, ge ya thuhu ya kristiano [...]	ne nkhabɨ bri tʔotʔe nehe ko marʔa ya bɔnahmu mi pɛci ra tʔɨka cɨtui ha ya tʔɨka hnini, nuyɨ toʔo mi bʔɛpi da tʔɔtʔe ngu nuni šalapan, tlašcalan, tehuantepec, oašaca nehe marʔa ya bɔnahmu marʔa ya tʔɨka hnini habɨ bi guatʔi ya nduste, ya dumanthuhu dega kʔastabokha, ge ya thuhu ya kristiano [...]	ne nkhabɨ bɾi tʔotʔe nehe ko maɾʔa ja bɔnahmu mi pɛt͡si ra tʔɨka t͡sɨtui ha ja tʔɨka hnini, nujɨ toʔo mi bʔɛpi da tʔɔtʔe ngu nuni ʃalapan, tlaʃt͡salan, tehuantepet͡s, oaʃat͡sa nehe maɾʔa ja bɔnahmu maɾʔa ja tʔɨka hnini habɨ bi guatʔi ja nduste, ja dumanthuhu dega kʔastabokha, ge ja thuhu ja kɾistiano [...]
4	huan	Cohuanacotzin	nuna bi o̱t'a ra ntso̱m'i ra nge'a nehe nuya ya b'e̱datsi bi tsini ko ra Cortés ne ra Cohuanacotzin ne ra Ixtlilxóchitl xki nsofo pa ra Ixtlilxóchitl da gu̱ka ya jä'i ge mi zu ya hyodi, njabu̱ mi pe̱hna ajuä da t'o̱t'e.	nuna bi o̱t'a ra ntso̱m'i ra nge'a neje nuya ya b'e̱datsi bi tsini ko ra tsortés ne ra tsojuanatsotzin ne ra ixtlilxóchitl xki nsofo pa ra ixtlilxóchitl da gu̱ka ya jä'i ge mi zu ya jyodi, njabu̱ mi pe̱jna ajuä da t'o̱t'e.	nuna bi o̱t'a ra ntso̱m'i ra nge'a nehe nuya ya b'e̱datsi bi tsini ko ra tsortés ne ra tsohuanatsotzin ne ra ixtlilxóchitl xki nsofo pa ra ixtlilxóchitl da gu̱ka ya jä'i ge mi zu ya hyodi, njabu̱ mi pe̱hna ajuä da t'o̱t'e.	nuna bi o̱t'a ra ntso̱m'i ra nge'a nehe nuya ya b'e̱datsi bi tsini ko ra tsortés ne ra tsohuanatsotzin ne ra ixtlilxótxitl xki nsofo pa ra ixtlilxótxitl da gu̱ka ya jä'i ge mi zu ya hyodi, njabu̱ mi pe̱hna ajuä da t'o̱t'e.	nuna bi ɔtʔa ra ncɔmʔi ra ngeʔa nehe nuya ya bʔɛdaci bi cini ko ra cortés ne ra cohuanacotzin ne ra ištlilšóčitl ški nsopho pa ra ištlilšóčitl da gɨka ya khᶏʔi ge mi zu ya hyodi, nkhabɨ mi pɛhna akhuᶏ da tʔɔtʔe.	nuna bi ɔtʔa ra nt͡sɔmʔi ra ngeʔa nehe nuja ja bʔɛdat͡si bi t͡sini ko ra t͡soɾtés ne ra t͡sohuanat͡sotzin ne ra iʃtlilʃót͡ʃitl ʃki nsoɸo pa ra iʃtlilʃót͡ʃitl da gɨka ja khãʔi ge mi zu ja hjodi, nkhabɨ mi pɛhna akhuã da tʔɔtʔe.
5	huan	Cohuanacochtli,	nuni Cohuanacochtli, a Tetlepanquetzatzin,	nuni tsojuanatsochtli, a tetlepanquetzatzin,	nuni tsohuanatsochtli, a tetlepanquetzatzin,	nuni tsohuanatsotxtli, a tetlepanquetzatzin,	nuni cohuanacočtli, a tetlepanquetzatzin,	nuni t͡sohuanat͡sot͡ʃtli, a tetlepanquetzatzin,
6	huan	(Tlahuano)	Bi ma di gepu̱ ham''u̱ ra ngo pa da ts'ithe ya it'adehe (Tlahuano) ba po̱ni nubu̱  Tlapechhuan. Mra ngo ra Izcalli.	bi ma di gepu̱ jam''u̱ ra ngo pa da ts'itje ya it'adeje (tlajuano) ba po̱ni nubu̱ tlapechjuan. mra ngo ra iztsalli.	bi ma di gepu̱ ham''u̱ ra ngo pa da ts'ithe ya it'adehe (tlahuano) ba po̱ni nubu̱ tlapechhuan. mra ngo ra iztsalli.	bi ma di gepu̱ ham''u̱ ra ngo pa da ts'ithe ya it'adehe (tlahuano) ba po̱ni nubu̱ tlapetxhuan. mra ngo ra iztsalli.	bi ma di gepɨ hamʔʔɨ ra ngo pa da cʔithe ya itʔadehe (tlahuano) ba pɔni nubɨ tlapečhuan. mra ngo ra izcalli.	bi ma di gepɨ hamʔʔɨ ra ngo pa da t͡sʔithe ja itʔadehe (tlahuano) ba pɔni nubɨ tlapet͡ʃhuan. mɾa ngo ra izt͡salli.
7	huan	Tehuantepec	Ne nu'u̱ bi mani dra ts'okat'o̱t'amfeni nuni Michoacán, Xalisco, Culhuacan ne nuni nehe Pánuco, ne nuni Oaxaca, Tehuantepec ne Guatemala, ne nuua ra R'ayo Mahyati, nub'u̱ bri t'o̱t'a ra mabagi pa dra uadi dra t'o̱t'a nu'a ra ts'okat'o̱t'amfeni inda tsogihe se̱he̱.	ne nu'u̱ bi mani dra ts'okat'o̱t'amfeni nuni michoatsán, xalistso, tsuljuatsan ne nuni neje pánutso, ne nuni oaxatsa, tejuantepets ne guatemala, ne nuua ra r'ayo majyati, nub'u̱ bri t'o̱t'a ra mabagi pa dra uadi dra t'o̱t'a nu'a ra ts'okat'o̱t'amfeni inda tsogije se̱je̱.	ne nu'u̱ bi mani dra ts'okat'o̱t'amfeni nuni michoatsán, xalistso, tsulhuatsan ne nuni nehe pánutso, ne nuni oaxatsa, tehuantepets ne guatemala, ne nuua ra r'ayo mahyati, nub'u̱ bri t'o̱t'a ra mabagi pa dra uadi dra t'o̱t'a nu'a ra ts'okat'o̱t'amfeni inda tsogihe se̱he̱.	ne nu'u̱ bi mani dra ts'okat'o̱t'amfeni nuni mitxoatsán, xalistso, tsulhuatsan ne nuni nehe pánutso, ne nuni oaxatsa, tehuantepets ne guatemala, ne nuua ra r'ayo mahyati, nub'u̱ bri t'o̱t'a ra mabagi pa dra uadi dra t'o̱t'a nu'a ra ts'okat'o̱t'amfeni inda tsogihe se̱he̱.	ne nuʔɨ bi mani dra cʔokatʔɔtʔampheni nuni mičoacán, šalisco, culhuacan ne nuni nehe pánuco, ne nuni oašaca, tehuantepec ne guatemala, ne nuua ra rʔayo mahyati, nubʔɨ bri tʔɔtʔa ra mabagi pa dra uadi dra tʔɔtʔa nuʔa ra cʔokatʔɔtʔampheni inda cogihe sɛhɛ.	ne nuʔɨ bi mani dɾa t͡sʔokatʔɔtʔamɸeni nuni mit͡ʃoat͡sán, ʃalist͡so, t͡sulhuat͡san ne nuni nehe pánut͡so, ne nuni oaʃat͡sa, tehuantepet͡s ne guatemala, ne nuua ra rʔajo mahjati, nubʔɨ bɾi tʔɔtʔa ra mabagi pa dɾa uadi dɾa tʔɔtʔa nuʔa ra t͡sʔokatʔɔtʔamɸeni inda t͡sogihe sɛhɛ.
8	ihua	ambetz'ihuay.	di pädi xahño nuna b'e̱fi nehe yoho to'o di pädi da mpe̱fi da y'este nuya hoga do mahye̱gi ya xito, mra thuhu ra ambetz'ihuay.	di pädi xajño nuna b'e̱fi neje yojo to'o di pädi da mpe̱fi da y'este nuya joga do majye̱gi ya xito, mra tjuju ra ambetz'ijuay.	di pädi xahño nuna b'e̱fi nehe yoho to'o di pädi da mpe̱fi da y'este nuya hoga do mahye̱gi ya xito, mra thuhu ra ambetz'ihuay.	di pädi xahño nuna b'e̱fi nehe yoho to'o di pädi da mpe̱fi da y'este nuya hoga do mahye̱gi ya xito, mra thuhu ra ambetz'ihuay.	di pᶏdi šahño nuna bʔɛphi nehe yoho toʔo di pᶏdi da mpɛphi da yʔeste nuya hoga do mahyɛgi ya šito, mra thuhu ra ambetzʔihuay.	di pãdi ʃahɲo nuna bʔɛɸi nehe joho toʔo di pãdi da mpɛɸi da jʔeste nuja hoga do mahjɛgi ja ʃito, mɾa thuhu ra ambetzʔihuaj.
9	ihua	Cihuacóatl	Bi mä ra Cihuacóatl Tlacutzin:	bi mä ra tsijuatsóatl tlatsutzin:	bi mä ra tsihuatsóatl tlatsutzin:	bi mä ra tsihuatsóatl tlatsutzin:	bi mᶏ ra cihuacóatl tlacutzin:	bi mã ra t͡sihuat͡sóatl tlat͡sutzin:
