ORIGIN	OTS	INALI	OTQ
"Nuna pika he̱m'i ja te mä b'e̱tsi ha ra Archivo General de la Nación, nuua M'onda ne ja ha ra ndunthi ya hnini, njabu̱ ngu ya nzaya nuni Manhyati ne mar'a ya hnini, o̱t'e gi o̱de ra hñä ra mu̱dimehai."	"nuna pika je̱m'i ja te mä b'e̱tsi ja ra archivo general de la nación, nuua m'onda ne ja ja ra nduntji ya jnini, njabu̱ ngu ya nzaya nuni manjyati ne mar'a ya jnini, o̱t'e gi o̱de ra jñä ra mu̱dimejai."	"nuna pika he̱m'i ja te mä b'e̱tsi ha ra archivo general de la nación, nuua m'onda ne ja ha ra ndunthi ya hnini, njabu̱ ngu ya nzaya nuni manhyati ne mar'a ya hnini, o̱t'e gi o̱de ra hñä ra mu̱dimehai."	"nuna pika he̱m'i ja te mä b'e̱tsi ha ra archivo general de la nación, nuua m'onda ne ja ha ra ndunthi ya hnini, njabu̱ ngu ya nzaya nuni manhyati ne mar'a ya hnini, o̱t'e gi o̱de ra hñä ra mu̱dimehai."
"ra nku̱t'i ra huahni ne ya ñ'udi nthutsi ra Agustin Yáñez 2da. edición. Biblioteca del Estudiante Universitario, UNAM, 1950."	"ra nku̱t'i ra juajni ne ya ñ'udi ntjutsi ra agustin yáñez 2da. edición. biblioteca del estudiante universitario, unam, 1950."	"ra nku̱t'i ra huahni ne ya ñ'udi nthutsi ra agustin yáñez 2da. edición. biblioteca del estudiante universitario, unam, 1950."	"ra nku̱t'i ra huahni ne ya ñ'udi nthutsi ra agustin yáñez 2da. edición. biblioteca del estudiante universitario, unam, 1950."
Mi b'u̱i ya mu̱dimehai mi ñä ra ndeznä ne habu̱ ra hnini dige'a gatho ra nxiki M'onda ngu r'a ya yaqui b'u̱i nuni Sonora ne ya maya ri ñ'ehe nuni Yucatán ra nge bi guat'i ha ra tuhni bi nja nuua M'onda fädi ko ra thuhu ra revolución mexicana ya je̱ya 1910-1919.	mi b'u̱i ya mu̱dimejai mi ñä ra ndeznä ne jabu̱ ra jnini dige'a gatjo ra nxiki m'onda ngu r'a ya yaqui b'u̱i nuni sonora ne ya maya ri ñ'eje nuni yucatán ra nge bi guat'i ja ra tujni bi nja nuua m'onda fädi ko ra tjuju ra revolución mexicana ya je̱ya 1910-1919.	mi b'u̱i ya mu̱dimehai mi ñä ra ndeznä ne habu̱ ra hnini dige'a gatho ra nxiki m'onda ngu r'a ya yaqui b'u̱i nuni sonora ne ya maya ri ñ'ehe nuni yucatán ra nge bi guat'i ha ra tuhni bi nja nuua m'onda fädi ko ra thuhu ra revolución mexicana ya je̱ya 1910-1919.	mi b'u̱i ya mu̱dimehai mi ñä ra ndeznä ne habu̱ ra hnini dige'a gatho ra nxiki m'onda ngu r'a ya yaqui b'u̱i nuni sonora ne ya maya ri ñ'ehe nuni yucatán ra nge bi guat'i ha ra tuhni bi nja nuua m'onda fädi ko ra thuhu ra revolución mexicana ya je̱ya 1910-1919.
"Nuna hñäpi huts'i ha n'a ra he̱m'i fädi ra Derecho Canonigo ko ra thuhu hñämfo̱ ngu ra ""solicitación al administrar el sacramento de la confesión""."	"nuna jñäpi juts'i ja n'a ra je̱m'i fädi ra derecho canonigo ko ra tjuju jñämfo̱ ngu ra ""solicitación al administrar el sacramento de la confesión""."	"nuna hñäpi huts'i ha n'a ra he̱m'i fädi ra derecho canonigo ko ra thuhu hñämfo̱ ngu ra ""solicitación al administrar el sacramento de la confesión""."	"nuna hñäpi huts'i ha n'a ra he̱m'i fädi ra derecho canonigo ko ra thuhu hñämfo̱ ngu ra ""solicitación al administrar el sacramento de la confesión""."
"Ra hmä ra Fundación de Santo Tomás Ajusco, Archivo General de la Nación, México, Ramo de Tierras vol. 2676, expediente. 4, Archivo Histórico de la Biblioteca Nacional de Antropología, Colección Antigua, vol. 254, fojas 259 r.- 260 v."	"ra jmä ra fundación de santo tomás ajusco, archivo general de la nación, méxico, ramo de tierras vol. 2676, expediente. 4, archivo histórico de la biblioteca nacional de antropología, colección antigua, vol. 254, fojas 259 r.- 260 v."	"ra hmä ra fundación de santo tomás ajusco, archivo general de la nación, méxico, ramo de tierras vol. 2676, expediente. 4, archivo histórico de la biblioteca nacional de antropología, colección antigua, vol. 254, fojas 259 r.- 260 v."	"ra hmä ra fundación de santo tomás ajusco, archivo general de la nación, méxico, ramo de tierras vol. 2676, expediente. 4, archivo histórico de la biblioteca nacional de antropología, colección antigua, vol. 254, fojas 259 r.- 260 v."
"Nthandi gatho nu'a ra munts'i ra thuhu hñämfo̱ ra globalización ge ‘a po̱ts'e dega nest'ihi, nuna y'o̱te to̱m'i da nja ra ntho̱mäte."	"ntjandi gatjo nu'a ra munts'i ra tjuju jñämfo̱ ra globalización ge 'a po̱ts'e dega nest'iji, nuna y'o̱te to̱m'i da nja ra ntjo̱mäte."	"nthandi gatho nu'a ra munts'i ra thuhu hñämfo̱ ra globalización ge 'a po̱ts'e dega nest'ihi, nuna y'o̱te to̱m'i da nja ra ntho̱mäte."	"nthandi gatho nu'a ra munts'i ra thuhu hñämfo̱ ra globalización ge 'a po̱ts'e dega nest'ihi, nuna y'o̱te to̱m'i da nja ra ntho̱mäte."
"He̱mi unga mfädi ha ra t'u̱ka hnini habu̱ b'u̱i ya jä'i teni ra División ra Arenas, 27 ra abril ra je̱ya 1918, Ra m'ets'a he̱m'i ra Zapata, b'e̱tsi ha ra Universidad Nacional Autónoma de México, expediente 29."	"je̱mi unga mfädi ja ra t'u̱ka jnini jabu̱ b'u̱i ya jä'i teni ra división ra arenas, 27 ra abril ra je̱ya 1918, ra m'ets'a je̱m'i ra zapata, b'e̱tsi ja ra universidad nacional autónoma de méxico, expediente 29."	"he̱mi unga mfädi ha ra t'u̱ka hnini habu̱ b'u̱i ya jä'i teni ra división ra arenas, 27 ra abril ra je̱ya 1918, ra m'ets'a he̱m'i ra zapata, b'e̱tsi ha ra universidad nacional autónoma de méxico, expediente 29."	"he̱mi unga mfädi ha ra t'u̱ka hnini habu̱ b'u̱i ya jä'i teni ra división ra arenas, 27 ra abril ra je̱ya 1918, ra m'ets'a he̱m'i ra zapata, b'e̱tsi ha ra universidad nacional autónoma de méxico, expediente 29."
normalmente góho	normalmente gójo	normalmente góho	normalmente góho
Gi handi ra nt'ofo ra thuhu ra Crónicas de la conquista	gi jandi ra nt'ofo ra tjuju ra crónicas de la conquista	gi handi ra nt'ofo ra thuhu ra crónicas de la conquista	gi handi ra nt'ofo ra thuhu ra crónicas de la conquista
"Ya b'e̱go ne ya b'e̱tri di ge'a nu'a ra dänga ndä ra ndada ra thuhu ra Esteban de Guzmán ra nzaya di gekua M'onda, ra ndada ra Hernando Pimentel, ra ndada ra Antonio Cortés, ra ndada Xuua (Juan) nuna ra mecoyoacan, ra ndada Pedro Motecuhzoma, me ma r'a ya kuänmi (firmas)."	"ya b'e̱go ne ya b'e̱tri di ge'a nu'a ra dänga ndä ra ndada ra tjuju ra esteban de guzmán ra nzaya di gekua m'onda, ra ndada ra hernando pimentel, ra ndada ra antonio cortés, ra ndada xuua (juan) nuna ra mecoyoacan, ra ndada pedro motecuhzoma, me ma r'a ya kuänmi (firmas)."	"ya b'e̱go ne ya b'e̱tri di ge'a nu'a ra dänga ndä ra ndada ra thuhu ra esteban de guzmán ra nzaya di gekua m'onda, ra ndada ra hernando pimentel, ra ndada ra antonio cortés, ra ndada xuua (juan) nuna ra mecoyoacan, ra ndada pedro motecuhzoma, me ma r'a ya kuänmi (firmas)."	"ya b'e̱go ne ya b'e̱tri di ge'a nu'a ra dänga ndä ra ndada ra thuhu ra esteban de guzmán ra nzaya di gekua m'onda, ra ndada ra hernando pimentel, ra ndada ra antonio cortés, ra ndada xuua (juan) nuna ra mecoyoacan, ra ndada pedro motecuhzoma, me ma r'a ya kuänmi (firmas)."
