ORIGIN	OTS	INALI	OTQ
"Ngu mra me̱ti, nu'a r'a hyodi, habu mi y'o, n'a ngu n'a mi johya mi mfe̱m'a xinxi xi mi johya ya ndäte, mi thede n'a ngu n'a mi hñu̱fi ne mi fe̱m'a ya xinxi: xi mi b'u̱i mpaha."	"ngu mra me̱ti, nu'a r'a hyodi, jabu mi y'o, n'a ngu n'a mi kjohya mi mfe̱m'a xinxi xi mi kjohya ya ndäte, mi tjede n'a ngu n'a mi jñu̱fi ne mi fe̱m'a ya xinxi: xi mi b'u̱i mpaja."	"ngu mra me̱ti, nu'a r'a hyodi, habu mi y'o, n'a ngu n'a mi johya mi mfe̱m'a xinxi xi mi johya ya ndäte, mi thede n'a ngu n'a mi hñu̱fi ne mi fe̱m'a ya xinxi: xi mi b'u̱i mpaha."	"ngu mra me̱ti, nu'a r'a hyodi, habu mi y'o, n'a ngu n'a mi johya mi mfe̱m'a xinxi xi mi johya ya ndäte, mi thede n'a ngu n'a mi hñu̱fi ne mi fe̱m'a ya xinxi: xi mi b'u̱i mpaha."
Ebu̱ bi mä nuna b'e̱fi xa thoki xahño bi johya ra Ts'e̱y'e̱hmu.	ebu̱ bi mä nuna b'e̱fi xa tjoki xajño bi kjohya ra ts'e̱y'e̱jmu.	ebu̱ bi mä nuna b'e̱fi xa thoki xahño bi johya ra ts'e̱y'e̱hmu.	ebu̱ bi mä nuna b'e̱fi xa thoki xahño bi johya ra ts'e̱y'e̱hmu.
"Nuna bi johya ha ra mabagi,"	"nuna bi kjojya ja ra mabagi,"	"nuna bi johya ha ra mabagi,"	"nuna bi johya ha ra mabagi,"
"Ya miñ'o ko ngehna hmä ri johya,"	"ya miñ'o ko ngejna jmä ri kjojya,"	"ya miñ'o ko ngehna hmä ri johya,"	"ya miñ'o ko ngehna hmä ri johya,"
Ri ñ'udi xahño nubia hanja beni ya metlaxcala bi do̱m'i mpaha nuya nso̱ho̱ jä'i.	ri ñ'udi xajño nubia jankja beni ya metlaxcala bi do̱m'i mpaja nuya nso̱jo̱ kjä'i.	ri ñ'udi xahño nubia hanja beni ya metlaxcala bi do̱m'i mpaha nuya nso̱ho̱ jä'i.	ri ñ'udi xahño nubia hanja beni ya metlaxcala bi do̱m'i mpaha nuya nso̱ho̱ jä'i.
Ya r'atsanoya ra Sahagún mi mä hanja mi yopa tsini. Ya ndeznä bi nkohi inda ñ'udi. Mi hatatho pa bi mu̠di ra ntuhni	ya r'atsanoya ra sajagún mi mä jankja mi yopa tsini. ya ndeznä bi nkoji inda ñ'udi. mi jatatjo pa bi mu̱di ra ntujni	ya r'atsanoya ra sahagún mi mä hanja mi yopa tsini. ya ndeznä bi nkohi inda ñ'udi. mi hatatho pa bi mu̱di ra ntuhni	ya r'atsanoya ra sahagún mi mä hanja mi yopa tsini. ya ndeznä bi nkohi inda ñ'udi. mi hatatho pa bi mu̱di ra ntuhni
"ne ya nt'u̱i, hanja di thuts'i ya nt'ofo, njap'u̱ nehe mä 'ra ya mpeu̱i da fats'i di nt'ot'i ra hñähñu"	"ne ya nt'u̱i, jankja di tjuts'i ya nt'ofo, nkjap'u̱ neje mä 'ra ya mpeu̱i da fats'i di nt'ot'i ra jñäjñu"	"ne ya nt'u̱i, hanja di thuts'i ya nt'ofo, njap'u̱ nehe mä 'ra ya mpeu̱i da fats'i di nt'ot'i ra hñähñu"	"ne ya nt'u̱i, hanja di thuts'i ya nt'ofo, njap'u̱ nehe mä 'ra ya mpeu̱i da fats'i di nt'ot'i ra hñähñu"
bri juahni po nuya dra hmu.	bri kjuajni po nuya dra jmu.	bri juahni po nuya dra hmu.	bri juahni po nuya dra hmu.
"Ge mä ra bonahmu metetzcoco ge, enfrentar ra Cacamatzin, bi juahni bi fats'i ra Cortés."	"ge mä ra bonajmu metetzcoco ge, enfrentar ra cacmatzin, bi kjuajni bi fats'i ra cortés."	"ge mä ra bonahmu metetzcoco ge, enfrentar ra cacamatzin, bi juahni bi fats'i ra cortés."	"ge mä ra bonahmu metetzcoco ge, enfrentar ra cacamatzin, bi juahni bi fats'i ra cortés."
"r'a nuna mi nthandi ngu nu'a ma thänjuahu̱ (Ychtlilmatli), xi mra nts'o, mi kuet'e ha ya ngo̱,"	"r'a nuna mi ntjandi ngu nu'a ma tjänkjuaju̱ (ychtlilmatli), xi mra nts'o, mi kuet'e ja ya ngo̱,"	"r'a nuna mi nthandi ngu nu'a ma thänjuahu̱ (ychtlilmatli), xi mra nts'o, mi kuet'e ha ya ngo̱,"	"r'a nuna mi nthandi ngu nu'a ma thänjuahu̱ (ytxtlilmatli), xi mra nts'o, mi kuet'e ha ya ngo̱,"
