	Palabra	Aparece en:	OTS	INALI	OTQ	RFE	fon
0	hijo	y mirad que no lo descubráis a hijo de madre, so pena de las graves penas de tirar hasta los cimientos de casas,	y mirad que no lo destsubráis a jijo de madre, so pena de las graves penas de tirar jasta los tsimientos de tsasas,	y mirad que no lo destsubráis a hijo de madre, so pena de las graves penas de tirar hasta los tsimientos de tsasas,	y mirad que no lo destsubráis a hijo de madre, so pena de las graves penas de tirar hasta los tsimientos de tsasas,	y mirad que no lo descubráis a hikho de madre, so pena de las graves penas de tirar hasta los cimientos de casas,	j miɾad que no lo dest͡subɾáis a hikho de madɾe, so pena de las gɾaves penas de tiɾaɾ hasta los t͡simientos de t͡sasas,
1	hijo	Cuando murió éste —lo mató la epidemia de viruela— sólo quedó su hijo, y de las ocho barras tan sólo aparecieron cuatro.	tsuando murió éste -lo mató la epidemia de viruela- sólo quedó su jijo, y de las ocho barras tan sólo aparetsieron tsuatro.	tsuando murió éste -lo mató la epidemia de viruela- sólo quedó su hijo, y de las ocho barras tan sólo aparetsieron tsuatro.	tsuando murió éste -lo mató la epidemia de viruela- sólo quedó su hijo, y de las otxo barras tan sólo aparetsieron tsuatro.	cuando murió éste -lo mató la epidemia de viruela- sólo quedó su hikho, y de las očo barras tan sólo aparecieron cuatro.	t͡suando muɾió éste -lo mató la epidemia de viɾuela- sólo quedó su hikho, j de las ot͡ʃo baras tan sólo apaɾet͡sieɾon t͡suatɾo.
2	johya	Ngu mra me̱ti, nu'a r'a hyodi, habu mi y'o, n'a ngu n'a mi johya mi mfe̱m'a xinxi xi mi johya ya ndäte, mi thede n'a ngu n'a mi hñu̱fi ne mi fe̱m'a ya xinxi: xi mi b'u̱i mpaha.	ngu mra me̱ti, nu'a r'a jyodi, jabu mi y'o, n'a ngu n'a mi jojya mi mfe̱m'a xinxi xi mi jojya ya ndäte, mi tjede n'a ngu n'a mi jñu̱fi ne mi fe̱m'a ya xinxi: xi mi b'u̱i mpaja.	ngu mra me̱ti, nu'a r'a hyodi, habu mi y'o, n'a ngu n'a mi johya mi mfe̱m'a xinxi xi mi johya ya ndäte, mi thede n'a ngu n'a mi hñu̱fi ne mi fe̱m'a ya xinxi: xi mi b'u̱i mpaha.	ngu mra me̱ti, nu'a r'a hyodi, habu mi y'o, n'a ngu n'a mi johya mi mfe̱m'a xinxi xi mi johya ya ndäte, mi thede n'a ngu n'a mi hñu̱fi ne mi fe̱m'a ya xinxi: xi mi b'u̱i mpaha.	ngu mra mɛti, nuʔa rʔa hyodi, habu mi yʔo, nʔa ngu nʔa mi khohya mi mphɛmʔa šinši ši mi khohya ya ndᶏte, mi thede nʔa ngu nʔa mi hñɨphi ne mi phɛmʔa ya šinši: ši mi bʔɨi mpaha.	ngu mɾa mɛti, nuʔa rʔa hjodi, habu mi jʔo, nʔa ngu nʔa mi khohja mi mɸɛmʔa ʃinʃi ʃi mi khohja ja ndãte, mi thede nʔa ngu nʔa mi hɲɨɸi ne mi ɸɛmʔa ja ʃinʃi: ʃi mi bʔɨi mpaha.
3	johya	Ebu̱ bi mä nuna b'e̱fi xa thoki xahño bi johya ra Ts'e̱y'e̱hmu.	ebu̱ bi mä nuna b'e̱fi xa tjoki xajño bi jojya ra ts'e̱y'e̱jmu.	ebu̱ bi mä nuna b'e̱fi xa thoki xahño bi johya ra ts'e̱y'e̱hmu.	ebu̱ bi mä nuna b'e̱fi xa thoki xahño bi johya ra ts'e̱y'e̱hmu.	ebɨ bi mᶏ nuna bʔɛphi ša thoki šahño bi khohya ra cʔɛyʔɛhmu.	ebɨ bi mã nuna bʔɛɸi ʃa thoki ʃahɲo bi khohja ra t͡sʔɛjʔɛhmu.
4	johya	Nuna bi johya ha ra mabagi,	nuna bi jojya ja ra mabagi,	nuna bi johya ha ra mabagi,	nuna bi johya ha ra mabagi,	nuna bi khohya ha ra mabagi,	nuna bi khohja ha ra mabagi,
5	johya	Nehe njo'o to'o bi ñot'igihe, jo'o into bi jakagihe ga mä majuäni ge'a Ajua, bi o̱t'e se̱he̱ ra paha pa go ge'i ma hmu'ihe ne njabu̱ ga tsihñe ko ya johya nuya nso̱ho̱ ñämfo̱ ge bi guat'k'agihe nuua ra ra'yo hai.	neje njo'o to'o bi ñot'igije, jo'o into bi jakagije ga mä majuäni ge'a ajua, bi o̱t'e se̱je̱ ra paja pa go ge'i ma jmu'ije ne njabu̱ ga tsijñe ko ya jojya nuya nso̱jo̱ ñämfo̱ ge bi guat'k'agije nuua ra ra'yo jai.	nehe njo'o to'o bi ñot'igihe, jo'o into bi jakagihe ga mä majuäni ge'a ajua, bi o̱t'e se̱he̱ ra paha pa go ge'i ma hmu'ihe ne njabu̱ ga tsihñe ko ya johya nuya nso̱ho̱ ñämfo̱ ge bi guat'k'agihe nuua ra ra'yo hai.	nehe njo'o to'o bi ñot'igihe, jo'o into bi jakagihe ga mä majuäni ge'a ajua, bi o̱t'e se̱he̱ ra paha pa go ge'i ma hmu'ihe ne njabu̱ ga tsihñe ko ya johya nuya nso̱ho̱ ñämfo̱ ge bi guat'k'agihe nuua ra ra'yo hai.	nehe nkhoʔo toʔo bi ñotʔigihe, khoʔo into bi khakagihe ga mᶏ makhuᶏni geʔa akhua, bi ɔtʔe sɛhɛ ra paha pa go geʔi ma hmuʔihe ne nkhabɨ ga cihñe ko ya khohya nuya nsɔhɔ ñᶏmphɔ ge bi guatʔkʔagihe nuua ra raʔyo hai.	nehe nkhoʔo toʔo bi ɲotʔigihe, khoʔo into bi khakagihe ga mã makhuãni geʔa akhua, bi ɔtʔe sɛhɛ ra paha pa go geʔi ma hmuʔihe ne nkhabɨ ga t͡sihɲe ko ja khohja nuja nsɔhɔ ɲãmɸɔ ge bi guatʔkʔagihe nuua ra raʔjo hai.
6	johya	Ndunthi bri johya, bri thuxpabi gatho nu'a mi  o̱t'abi ra b'edi, ko nge'u̱ bi m'u̱i ne mi t'umbabi ya t'ixu:	nduntji bri jojya, bri tjuxpabi gatjo nu'a mi o̱t'abi ra b'edi, ko nge'u̱ bi m'u̱i ne mi t'umbabi ya t'ixu:	ndunthi bri johya, bri thuxpabi gatho nu'a mi o̱t'abi ra b'edi, ko nge'u̱ bi m'u̱i ne mi t'umbabi ya t'ixu:	ndunthi bri johya, bri thuxpabi gatho nu'a mi o̱t'abi ra b'edi, ko nge'u̱ bi m'u̱i ne mi t'umbabi ya t'ixu:	ndunthi bri khohya, bri thušpabi gatho nuʔa mi ɔtʔabi ra bʔedi, ko ngeʔɨ bi mʔɨi ne mi tʔumbabi ya tʔišu:	ndunthi bɾi khohja, bɾi thuʃpabi gatho nuʔa mi ɔtʔabi ra bʔedi, ko ngeʔɨ bi mʔɨi ne mi tʔumbabi ja tʔiʃu:
7	johya	Ho̱nse̱he̱ ga ze̱ti ra nge'a r'akagi ndunthi ra johya di handi nuna b'ist'ofo,	jo̱nse̱je̱ ga ze̱ti ra nge'a r'akagi nduntji ra jojya di jandi nuna b'ist'ofo,	ho̱nse̱he̱ ga ze̱ti ra nge'a r'akagi ndunthi ra johya di handi nuna b'ist'ofo,	ho̱nse̱he̱ ga ze̱ti ra nge'a r'akagi ndunthi ra johya di handi nuna b'ist'ofo,	hɔnsɛhɛ ga zɛti ra ngeʔa rʔakagi ndunthi ra khohya di handi nuna bʔistʔopho,	hɔnsɛhɛ ga zɛti ra ngeʔa rʔakagi ndunthi ra khohja di handi nuna bʔistʔoɸo,
8	johya	Num'u̱ di johyahu̱, nkuehu̱, nts'o̱mihu̱, tsuhu ne pa da t'o̱xkähu̱ di hohñu̱ nu ya nt'u̱i xi di 'yoohu̱ (¡!). Nuya da nt'ot'i ko ra dänt'ot ́i 	num'u̱ di jojyaju̱, nkueju̱, nts'o̱miju̱, tsuju ne pa da t'o̱xkäju̱ di jojñu̱ nu ya nt'u̱i xi di 'yooju̱ (¡!). nuya da nt'ot'i ko ra dänt'ot í	num'u̱ di johyahu̱, nkuehu̱, nts'o̱mihu̱, tsuhu ne pa da t'o̱xkähu̱ di hohñu̱ nu ya nt'u̱i xi di 'yoohu̱ (¡!). nuya da nt'ot'i ko ra dänt'ot í	num'u̱ di johyahu̱, nkuehu̱, nts'o̱mihu̱, tsuhu ne pa da t'o̱xkähu̱ di hohñu̱ nu ya nt'u̱i xi di 'yoohu̱ (¡!). nuya da nt'ot'i ko ra dänt'ot í	numʔɨ di khohyahɨ, nkuehɨ, ncʔɔmihɨ, cuhu ne pa da tʔɔškᶏhɨ di hohñɨ nu ya ntʔɨi ši di ʔyoohɨ (¡!). nuya da ntʔotʔi ko ra dᶏntʔot í	numʔɨ di khohjahɨ, nkuehɨ, nt͡sʔɔmihɨ, t͡suhu ne pa da tʔɔʃkãhɨ di hohɲɨ nu ja ntʔɨi ʃi di ʔjoohɨ (¡!). nuja da ntʔotʔi ko ra dãntʔot í
9	johya	Nub'u̱ bi t'umbi nuya baha, bi hneki bi johya ra hmi, bi mpaha ndunthi (ya ñämfo̱), nuya bi hnutuabi ra mu̱i,	nub'u̱ bi t'umbi nuya baja, bi jneki bi jojya ra jmi, bi mpaja nduntji (ya ñämfo̱), nuya bi jnutuabi ra mu̱i,	nub'u̱ bi t'umbi nuya baha, bi hneki bi johya ra hmi, bi mpaha ndunthi (ya ñämfo̱), nuya bi hnutuabi ra mu̱i,	nub'u̱ bi t'umbi nuya baha, bi hneki bi johya ra hmi, bi mpaha ndunthi (ya ñämfo̱), nuya bi hnutuabi ra mu̱i,	nubʔɨ bi tʔumbi nuya baha, bi hneki bi khohya ra hmi, bi mpaha ndunthi (ya ñᶏmphɔ), nuya bi hnutuabi ra mɨi,	nubʔɨ bi tʔumbi nuja baha, bi hneki bi khohja ra hmi, bi mpaha ndunthi (ja ɲãmɸɔ), nuja bi hnutuabi ra mɨi,
