Input	Result
"-pasadores: ""ya nts'äza xi mra nts'u̱t'i mi t'e̱ni ko n'a ra t'e̱nga ts'u̱t'a bo̱ja mi thutuabi ra ballesta""."	"Pasadores: ""ya nts'äsa xi mra nts'u̱t'i mi t'e̱ni ko n'a ra t'e̱nga ts'u̱t'a bo̱ha mi thutuabi ra ballesta""."
"cantares mexicanos, biblioteca nacional de méxico, ya nt'ofo 1628 bis, folio 16 v."	"Cantares mexicanos, Biblioteca Nacional de México, ya nt'ofo 1628 bis, folio 16 v."
"ebu̱ bi bo̱ni, bi meui nuni nonohualco, ha ra ngu ra b'ongui habu̱ ra gabida ne ra malintzin ne ""ra hyadi"" (alvarado) ne ra sandoval."	"ebu bi boni, bi meui nuni nonohualco, ha ra ngu ra b'ongui habu ra gabida ne ra Malintzin ne ""ra Hyadi"" (Alvarado) ne ra Sandoval."
gi handi ra nt'ofo ra thuhu ra crónicas de la conquista	gi handi ra nt'ofo ra thuhu ra krónikas de la konkista
"guzmán. ha ya he̱m'i b'e̱tsa je̱ya manteb'u̱ di ge nuua m'onda ne ya hyo, nu'a ra hmä ra 12-conejo (1530) ge xa hmä ge xibú bi yut'i ha ra culhuacan ya ndeznä, nda pablo xochiquetzin, motelchiuhtzin ne ra guzman."	"Guzmán. Ha ya hem'i b'e̱tsa je̱ya manteb'u̱ di ge nuua m'onda ne ya hyo, nu'a ra hmä ra 12-Conejo (1530) ge xa hmä ge xibú bi yut'i ha ra Culhuacan ya ndeznä, nda Pablo Xochiquetzin, Motelchiuhtzin ne ra Guzmán."
"ha ga ñ'udihu̱ ra nt'ofo ya ñämfo̱ po ra nthuts'i ra doctor garibay,"	Ha ga ñ'udihu ra nt'ofo ya ñämfö po ra nthuts'i ra doctor Garibay.
ha nu'a hyodi nubia thutuabi ra san martin.	Ha nu'a jyodi nubya tutwabi ra San Martín.
"he̱mi unga mfädi ha ra t'u̱ka hnini habu̱ b'u̱i ya jä'i teni ra división ra arenas, 27 ra abril ra je̱ya 1918, ra m'ets'a he̱m'i ra zapata, b'e̱tsi ha ra universidad nacional autónoma de méxico, expediente 29."	"hemi unga mfädi ha ra t'u̱ka hnini habu̱ b'u̱i ya jä'i teni ra división ra arenas, 27 ra abril ra je̱ya 1918, ra m'ets'a hem'i ra zapata, b'e̱tsi ha ra universidad nacional autónoma de méxico, expediente 29."
"m'e̱fa ha ra hñuti bri thätuabi na ra hñe xki tagiri mo̱te, nehe bri jom'a ra xu̱tha ko n'a ra t'axa dutu mra thuhuu ra ""campanillante""."	"m'efa ha ra hñuti bri thätuabi na ra hñe xki tagiri mo̱te, nehe bri jom'a ra xu̱tha ko n'a ra t'axa dutu mra thuhuu ra ""campanillante""."
"ma dada'ihe gra ts'u̱tui, di ne gi pädi ge ma me̱t'o instä thogihe nuna thogi gatho ya mapa xki r'ani, bi juat'i ko ngeke nu̱'u ri b'e̱go, ri me̱fi ya ñämfo̱, ra nge'a majuäni ra hernando cortés ra ndä gabida,"	"ma dada'ihe gra ts'u̱tui, di ne gi pädi ge ma me̱t'o instä thogihe nuna thogi gatho ya mapa xki r'ani, bi juat'i ko ngeke nu̱'u ri b'e̱go, ri me̱fi ya ñämfo̱, ra nge'a majuäni ra hernando cortés ra ndä gabida,"
mi b'u̱i ya mu̱dimehai mi ñä ra ndeznä ne habu̱ ra hnini dige'a gatho ra nxiki m'onda ngu r'a ya yaqui b'u̱i nuni sonora ne ya maya ri ñ'ehe nuni yucatán ra nge bi guat'i ha ra tuhni bi nja nuua m'onda fädi ko ra thuhu ra revolución mexicana ya je̱ya 1910-1919.	mi b'ui ya mudimehai mi ñä ra ndeznä ne habu ra hnini dige'a gatho ra nxiki m'onda ngu r'a ya yaqui b'ui nuni Sonora ne ya Maya ri ñ'ehe nuni Yucatán ra nge bi guat'i ha ra tuhni bi nja nuua m'onda fädi ko ra thuhu ra Revolución Mexicana ya je̱ya 1910-1919.
mi fo̱tuabi ya ts'u̱tnibo̱ja mi thutuabi ya hñämfo̱ ra pasadores nehe ya bo̱zna ko ya nzafi.	mi fotuabi ya ts'utniboja mi tutuabi ya hñamfo ra pasadores nehe ya bozna ko ya nzafi.
"n'a nt'udi di ge'a nuya nthoki bri t'o̱t'e ha ya hñä ya ndeznä ra ngätsi ra nthebe nje̱ya ra r'e̱t'a ma gu̱to (s. xix), r'a ya hnini ngu ra xicontepec (villa juárez) nuna hyodi kohi nuni puebla."	"N'a nt'udi di ge'a nuya nthoki bri t'o̱t'e ha ya hñä ya ndeznä ra ngätsi ra nthebe nje̱ya ra r'e̱t'a ma gu̱to (s. xix), ra ya hnini ngu ra xicontepec (Villa Juárez) nuna hyodi kohi nuni Puebla."
"n'a ra t'axa dutu mi pe̱tsi ya k'oi ra ixki, nuna mra thuhu hñämfo̱ ""campaneante resonador""."	"N'a ra t'axa dutu mi petsi ya k'oi ra ixki, nuna mra tsuhu hñamfo ""kampaneante resonador""."
"ne ri mpe̱fi ha ra dängan gu nt'udi ra thuhu ra facultad de estudios superiores, acatlán, unam,"	"Ne ri mpefi ha ra dängan gu nt'udi ra tuhu ra facultad de estudios superiores, acatlán, unam."
"nthandi gatho nu'a ra munts'i ra thuhu hñämfo̱ ra globalización ge 'a po̱ts'e dega nest'ihi, nuna y'o̱te to̱m'i da nja ra ntho̱mäte."	"nthandi gatho nu'a ra munts'i ra tuhu hñämfo̱ ra globalización ge 'a po̱ts'e dega nest'ihi, nuna y'o̱te to̱m'i da nha ra ntho̱mäte."
"nu'a ma r'a ya jä'i mi pädi nuña b'e̱fi bri b'e̱pabi xa hyoki yoho ya mpe̱fi mi fädi ko ra thuhu ra amosqueador ko ya xi ya ts'ints'u̱ xi sta hotho, gi hutsuabi made dige'a n'a ra zänä dega k'astaboja"	"Nu'a ma ra ya jä'i mi pädi nuña b'efi bri b'epabi xa hyoki yoho ya mpefi mi fädi ko ra tuhu ra amoskeador ko ya xi ya ts'ints'u xi sta hoto, gi hutsuabi made dige'a na ra sänä dega k'astaboxa."
"nu'a ra munts'a jä'i bi te̱ni bi zipabi man'a ya b'ede, mi t'ena ge ya jä'i xki b'u̱i nubu̱ inbi pe̱tsi ra ts'e̱di nu'a mi mä pe m'e̱fa bi japi bi nxaxni ya tsu̱tui ne n'a ra diputado mi pe̱tsi ra mfeni xki kot'i mra thuhu ra josé maría lozano, bi y'onga ra hmä pa mar'a ya ñ'oui bi nxanxi: ""ri mo̱te ra thits'i mi udi ra emiliano zapata, nehe bri fädi ngu ra atila nuna bri nju̱tsi [...] nu'a bi fädi ngu mi he̱gi ya b'e̱go ne'a bi mä da uni da nja pa gatho, ingi jot'i [...]"	"nu'a ra munts'a jä'i bi te̱ni bi sipabi man'a ya b'ede, mi t'ena ge ya jä'i xki b'u̱i nubu̱ inbi pe̱tsi ra ts'e̱di nu'a mi mä pe m'e̱fa bi japi bi nxaxni ya tsu̱tui ne n'a ra diputado mi pe̱tsi ra mfeni xki kot'i mra tuhu ra José María Lozano, bi y'onga ra hmä pa mar'a ya ñ'oui bi nxanxi: ""ri mo̱te ra thits'i mi udi ra Emiliano Zapata, nehe bri fädi ngu ra Atila nuna bri nju̱tsi [...] nu'a bi fädi ngu mi he̱gi ya b'e̱go ne'a bi mä da uni da nja pa gatho, ingi jot'i [...]"
nu'u̱ to'o ñä ra ndenzä ha r'e̱t'a ma r'at'o ya estados.	Nu'u to'o ñä ra ndenzä ha r'e̱t'a ma r'at'o ya estados.
