Input	Result
"-pasadores: ""ya nts'äza xi mra nts'u̱t'i mi t'e̱ni ko n'a ra t'e̱nga ts'u̱t'a bo̱kja mi tjutuabi ra ballesta""."	"-pasadores: ""ya nts'äza xi mra nts'u̱t'i mi t'e̱ni ko n'a ra t'e̱nga ts'u̱t'a bo̱ja mi thuthuabi ra ballesta""."
"cantares mexicanos, biblioteca nacional de méxico, ya nt'ofo 1628 bis, folio 16 v."	"cantares mexicanos, biblioteca nacional de méxico, ya nt'oho 1628 bis, folio 16 v."
"ebu̱ bi bo̱ni, bi meui nuni nonohualco, ja ra ngu ra b'ongui jabu̱ ra gabida ne ra malintzin ne ""ra jyadi"" (alvarado) ne ra sandoval."	"ebu̱ bi bo̱ni, bi meui nuni nonohualco, ha ra ngu ra b'ongui jabu̱ ra gabida ne ra malintzin ne ""ra yadi"" (alvarado) ne ra sandoval."
gi jandi ra nt'ofo ra tjuju ra crónicas de la conquista	gi handi ra nt'oho ra tjuju ra crónicas de la conquista
"guzmán. ja ya je̱m'i b'e̱tsa kje̱ya manteb'u̱ di ge nuua m'onda ne ya jyo, nu'a ra jmä ra 12-conejo (1530) ge xa jmä ge xibú bi yut'i ja ra culhuacan ya ndeznä, nda pablo xochiquetzin, motelchiuhtzin ne ra guzman."	"guzmán. ha ya he̱m'i b'e̱hza khe̱ya manteb'u̱ di ge nuua m'onda ne ya jyo, nu'a ra jmä ra 12-conejo (1530) ge ha jmä ge xibú bi yut'i ha ra culhuacan ya ndeznä, nda pablo xochiquetzin, motelchiuhtzin ne ra guzman."
"ja ga ñ'udiju̱ ra nt'ofo ya ñämfo̱ po ra ntjuts'i ra doctor garibay,"	"ha ga ñ'udihu̱ ra nt'oho ya ñämfo̱ po ra nthuts'i ra doctor garibay,"
ja nu'a jyodi nubia tjutuabi ra san martin.	ha nu'a yodi nubia thutuabi ra san martin.
"je̱mi unga mfädi ja ra t'u̱ka jnini jabu̱ b'u̱i ya kjä'i teni ra división ra arenas, 27 ra abril ra kje̱ya 1918, ra m'ets'a je̱m'i ra zapata, b'e̱tsi ja ra universidad nacional autónoma de méxico, expediente 29."	"he̱mi unga mfädi ha ra t'u̱ka hnini jabu̱ b'u̱i ya jä'i teni ra división ra arenas, 27 ra abril ra je̱ya 1918, ra m'ets'a he̱m'i ra zapata, b'e̱tsi ha ra universidad nacional autónoma de méxico, expediente 29."
"m'e̱fa ja ra jñuti bri tjätuabi na ra jñe xki tagiri mo̱te, neje bri kjom'a ra xu̱tja ko n'a ra t'axa dutu mra tjujuu ra ""campanillante""."	"m'e̱fa ha ra ñuti bri thätuabi na ra ñe xki tagiri mo̱te, nehe bri jom'a ra xu̱tha ko n'a ra t'axa dutu mra tjujuu ra ""campanillante""."
"ma dada'ije gra ts'u̱tui, di ne gi pädi ge ma me̱t'o instä tjogije nuna tjogi gatjo ya mapa xki r'ani, bi kjuat'i ko ngeke nu̱'u ri b'e̱go, ri me̱fi ya ñämfo̱, ra nge'a makjuäni ra hernando cortés ra ndä gabida,"	"ma dada'ije hra ts'u̱tui, di ne gi pädi he ma me̱t'o instä thogije nuna thogi gatho ya mapa xki r'ani, bi juat'i ko ngeke nu̱'u ri b'e̱ho, ri me̱fi ya ñämfo̱, ra nge'a mahjuäni ra hernando cortés ra ndä habida,"
mi b'u̱i ya mu̱dimejai mi ñä ra ndeznä ne jabu̱ ra jnini dige'a gatjo ra nxiki m'onda ngu r'a ya yaqui b'u̱i nuni sonora ne ya maya ri ñ'eje nuni yucatán ra nge bi guat'i ja ra tujni bi nkja nuua m'onda fädi ko ra tjuju ra revolución mexicana ya kje̱ya 1910-1919.	mi b'u̱i ya mu̱dimehai mi ñä ra ndeznä ne hahu̱ ra hnini dige'a gatjo ra nxiki m'onda ngu r'a ya yaqui b'u̱i nuni sonora ne ya maya ri ñ'ehe nuni yucatán ra nge bi guat'i ha ra tuhni bi nja nuua m'onda fädi ko ra tjuju ra revolución mexicana ya khe̱ya 1910-1919.
mi fo̱tuabi ya ts'u̱tnibo̱kja mi tjutuabi ya jñämfo̱ ra pasadores neje ya bo̱zna ko ya nzafi.	mi fo̱tuabi ya ts'u̱tnibo̱ja mi thutuabi ya jñämfo̱ ra pasadores nehe ya bo̱hna ko ya nzafi.
"n'a nt'udi di ge'a nuya ntjoki bri t'o̱t'e ja ya jñä ya ndeznä ra ngätsi ra ntjebe nkje̱ya ra r'e̱t'a ma gu̱to (s. xix), r'a ya jnini ngu ra xicontepec (villa juárez) nuna jyodi koji nuni puebla."	"n'a nt'udi di ge'a nuya nthoki bri t'o̱t'e ha ya jñä ya ndeznä ra ngätsi ra nthene nkhe̱ya ra r'e̱t'a ma hu̱to (s. xix), r'a ya hnini ngu ra xicontepec (villa juárez) nuna hyodi koji nuni puebla."
"n'a ra t'axa dutu mi pe̱tsi ya k'oi ra ixki, nuna mra tjuju jñämfo̱ ""campaneante resonador""."	"n'a ra t'axa dutu mi pe̱tsi ya k'oi ra ixki, nuna mra tjuju ñämfo̱ ""campaneante resonador""."
"ne ri mpe̱fi ja ra dängan gu nt'udi ra tjuju ra facultad de estudios superiores, acatlán, unam,"	"ne ri mpe̱fi ha ra dängan gu nt'udi ra thuthu ra facultad de estudios superiores, acatlán, unam,"
"ntjandi gatjo nu'a ra munts'i ra tjuju jñämfo̱ ra globalización ge 'a po̱ts'e dega nest'iji, nuna y'o̱te to̱m'i da nkja ra ntjo̱mäte."	"nhandi gatho nu'a ra munts'i ra tjuju ñämfo̱ ra globalización ge 'a po̱ts'e dega nest'iji, nuna y'o̱te ho̱m'i da nja ra nhomäte."
"nu'a ma r'a ya kjä'i mi pädi nuña b'e̱fi bri b'e̱pabi xa jyoki yojo ya mpe̱fi mi fädi ko ra tjuju ra amosqueador ko ya xi ya ts'ints'u̱ xi sta jotjo, gi jutsuabi made dige'a n'a ra zänä dega k'astabokja"	"nu'a ma r'a ya jä'i mi pädi nuña b'e̱fi bri b'e̱pabi xa jyohi yoho ya mpe̱fi mi fädi ko ra tjuju ra amosqueador ko ya xi ya ts'ints'u̱ xi sta jotjo, gi jutsuabi made dige'a n'a ra zänä dega k'astaboja"
"nu'a ra munts'a kjä'i bi te̱ni bi zipabi man'a ya b'ede, mi t'ena ge ya kjä'i xki b'u̱i nubu̱ inbi pe̱tsi ra ts'e̱di nu'a mi mä pe m'e̱fa bi kjapi bi nxaxni ya tsu̱tui ne n'a ra diputado mi pe̱tsi ra mfeni xki kot'i mra tjuju ra josé maría lozano, bi y'onga ra jmä pa mar'a ya ñ'oui bi nxanxi: ""ri mo̱te ra tjits'i mi udi ra emiliano zapata, neje bri fädi ngu ra atila nuna bri nkju̱tsi [...] nu'a bi fädi ngu mi je̱gi ya b'e̱go ne'a bi mä da uni da nkja pa gatjo, ingi kjot'i [...]"	"nu'a ra munts'a jä'i bi te̱ni bi zipabi man'a ya b'ede, mi t'ena ge ya jä'i xki b'u̱i nubu̱ inbi pe̱tsi ra ts'e̱di nu'a mi mä pe m'e̱fa bi japi bi nxaxni ya tsu̱tui ne n'a ra diputado mi pe̱tsi ra mfeni xki kot'i mra tjuju ra josé maría lozano, bi y'onga ra jmä pa mar'a ya ñ'oui bi nxanxi: ""ri mo̱te ra thits'i mi udi ra emiliano zapata, nehe bri fädi ngu ra atila nuna bri nkhu̱tsi [...] nu'a bi fädi ngu mi he̱gi ya b'e̱go ne'a bi mä da uni da nkja pa gatho, ingi jot'i [...]"
nu'u̱ to'o ñä ra ndenzä ja r'e̱t'a ma r'at'o ya estados.	nu'u̱ to'o ñä ra ndenzä ha r'e̱t'a ma r'at'o ya estados.
"nub'u̱ ri m'e̱jni ne ri b'e̱go ya ñämfo̱ bi kjuat'i ko ngekagije ne bi tso̱jo̱ ra gabida ra tjuju ra hernán cortés, maske indi pädije ge gatjo da za da o̱t'e ne xi ra nzunda maría trinidad,"	"nub'u̱ ri m'e̱hni ne ri b'e̱ho ya ñämfo̱ bi juat'i ko ngekahihe ne bi tso̱ho̱ ra gabida ra tjuju ra hernán cortés, maske indi pädihe ge gatho da za da o̱t'e ne xi ra nzunda maría trinidad,"
"nubia, unga mfädi ja ra ñäjñu kjamädi ra universidad autónoma del estado de hidalgo."	"nubia, unga mfädi ha ra ñäjñu jamädi ra universidad autónoma del estado de hidalgo."
"nugi, ra miguel hernández ge di pe̱tsi ma ngu nuni chiyauhtzinco, ko ra t'ek'ei di udi ko nge'i, nuna m'e̱jnant'ofo di joki go tso̱n'i ko nge'i, ma t'ek'ei bo̱najmu'i nda doctor alonso ruiz, ra nk'ojnate ge gi b'ui nuua ja ra jnini ra quamochtitla."	"nugi, ra miguel hernández ge di pe̱tsi ma ngu nuni chiyauhtzinco, ko ra t'ek'ei di udi ko nge'i, nuna m'e̱hnant'ofo di hoki go tso̱n'i ko nge'i, ma t'ek'ei bo̱nahmu'i nda doctor alonso ruiz, ra nk'ohnate ge gi b'ui nuua ha ra hnini ra quamochtitla."
"nuna je̱m'i bri t'unga mfädi ko ra t'u̱ka ntjint'ant'ofo po ra marcelo díaz salas ne ra luis reyes garcía ja: tialtocan, revista de fuentes para el conocimiento de las culturas indígenas de méxico, vol. vi, 1970, b'ede ra 3, pp. 193-212."	"nuna he̱m'i bri t'unga mfädi ko ra t'u̱ka nthinth'ant'oho po ra marcelo díaz salas ne ra luis reyes garcía ha: tialtocan, revista de fuentes para el conocimiento de las culturas indígenas de méxico, vol. vi, 1970, b'ede ra 3, pp. 193-212."
"nuna jñäpi juts'i ja n'a ra je̱m'i fädi ra derecho canonigo ko ra tjuju jñämfo̱ ngu ra ""solicitación al administrar el sacramento de la confesión""."	"nuna jñäpi huts'i ha n'a ra he̱m'i fädi ra derecho canonigo ko ra tjuju jñämfo̱ ngu ra ""solicitación al administrar el sacramento de la confesión""."
"nuna m'e̱jna nt'ofo b'e̱tsi ja ra archivo histórico nacional, madrid, documento 165. bi unga mfädi ja ra nt'ofo ya zubi po ra y'ofo ra tjuju ra arthur j. o. anderson et al.: byond the codices: the nahua view of colonial mexico, berkeley, university of california press, 1976, pp. 181-187."	"nuna m'e̱hna nt'oho b'e̱tsi ha ra archivo histórico nacional, madrid, documento 165. bi unga mfädi ha ra nt'oho ya zubi po ra y'oho ra tjuju ra arthur j. o. anderson et al.: byond the codices: the nahua view of colonial mexico, berkeley, university of california press, 1976, pp. 181-187."
"nuna nt'ofo b'e̱tsi ja ra archivo general de indias, sevilla, audiencia de méxico 168, bi unga dra fädi po ra miguel león-portilla ja cultura en peligro, méxico, alianza editorial mexicana, 1976, pp. 102-103."	"nuna nt'oho b'e̱tsi ha ra archivo general de indias, sevilla, audiencia de méxico 168, bi unga dra hädi po ra miguel león-portilla ha cultura en peligro, méxico, alianza editorial mexicana, 1976, pp. 102-103."
"nuna pika je̱m'i kja te mä b'e̱tsi ja ra archivo general de la nación, nuua m'onda ne kja ja ra nduntji ya jnini, njabu̱ ngu ya nzaya nuni manjyati ne mar'a ya jnini, o̱t'e gi o̱de ra jñä ra mu̱dimejai."	"nuna pika he̱m'i ja te mä b'e̱tsi ha ra archivo general de la nación, nuua m'onda ne ja ha ra ndunthi ya hnini, njabu̱ ngu ya nzaya nuni manjyati ne mar'a ya hnini, o̱t'e gi o̱de ra jñä ra mu̱dimehai."
"nuua t'unga yojo ya jmä, kuän'ajmä ya ndeznä ne tjuts'i ja n'a ra k'oi mä mäkjuäni ri ntje̱ui n'a ya dänga ra tju̱ajmä manteb'u̱, nuua pede nu'a gatjo ya ts'otjogi bi y'o̱t'a dega fete ra alvarado."	"nuua t'unga yoho ya jmä, kuän'ajmä ya ndeznä ne thuts'i ha n'a ra k'oi mä mäjuäni ri nthe̱ui n'a ya dänga ra thu̱ajmä manteb'u̱, nuua pede nu'a gatho ya ts'othohi bi y'o̱t'a dega fete ra alvarado."
"nuua ya mu̱di noya ra motolinia, ja ra mu̱di nkoji bi t'o̱t'e ko ra tjuju ra tratado tercero ra dänga b´ede ya mu̱dimejai nuua r´ayo manjyati:"	"nuua ya mu̱di noya ra motolinia, ha ra mu̱di nkoji bi t'o̱t'e ko ra tjuju ra tratado tercero ra dänga b´ede ya mu̱dimehai nuua r´ayo manhyati:"
"pa da t'unga mfädi gatjo nu'u̱ bi nkja, n'a di ge'u̱ ko ngu fe̱ti nu'a makjuäni mi joki mi tjutsuabi ya jnei ne ya b'ida. b'u̱i man'a ra mfädi da t'o̱t'a ra nt'udi, nu'a ra tjuju ""fe̱ta nu'a makjuäni bi nja nub'u̱ ra tsokat'o̱tamfeni (teatro de la conquista)""."	"pa da t'unga mfädi gatho nu'u̱ bi nja, n'a di ge'u̱ ko ngu he̱ti nu'a mahjuäni mi johi mi thutsuabi ya jnei ne ya b'ida. b'u̱i man'a ra mfädi da t'o̱t'a ra nt'udi, nu'a ra tjuju ""he̱ta nu'a mahjuäni bi nja nub'u̱ ra tsokat'o̱tamheni (teatro de la conquista)""."
"ra europa -mra nxika jai manteb'u̱, mi pe̱tsa n'a ra nxika b'ede-"	"ra europa -mra nxika hai manteb'u̱, mi pe̱cha n'a ra nxika b'ede-"
