Input	Result
"-pasadores: ""ya nts'äza xi mra nts'u̱t'i mi t'e̱ni ko n'a ra t'e̱nga ts'u̱t'a bo̱ja mi thutuabi ra ballesta""."	"""ya nts'äza xi mra nts'u̱t'i mi t'e̱ni ko n'a ra t'e̱nga ts'u̱t'a bo̱ja mi thutuabi ra ballesta."""
cantares mexicanos, biblioteca nacional de méxico, ya nt'ofo 1628 bis, folio 16 v.	Cantares mexicanos, Biblioteca Nacional de México, ya nt’otho 1628 bis, folio 16 v.
"ebu̱ bi bo̱ni, bi meui nuni nonohualco, ha ra ngu ra b'ongui habu̱ ra gabida ne ra malintzin ne ""ra hyadi"" (alvarado) ne ra sandoval."	"Ebu̱ bi bo̱ni, bi meui nuni nonohualco, ha ra ngu ra b'ongui habu̱ ra gabida ne ra malintzin ne ""ra hyadi"" (Alvarado) ne ra Sandoval."
gi handi ra nt'ofo ra thuhu ra crónicas de la conquista	gi handi ra nt’ofu ra hñuhu ra crónicas de la conquista
guzmán. ha ya he̱m'i b'e̱tsa je̱ya manteb'u̱ di ge nuua m'onda ne ya hyo, nu'a ra hmä ra 12-conejo (1530) ge xa hmä ge xibú bi yut'i ha ra culhuacan ya ndeznä, nda pablo xochiquetzin, motelchiuhtzin ne ra guzman.	Guzmán. Ha ya hem'i b'etsa jeya mantebu di ge nuwa monda ne ya hyo, nu'a ra hmä ra 12-Conejo (1530) ge xa hmä ge xibú bi yut'i ha ra Culhuacan ya ndezna, nda Pablo Xochiquetzin, Motelchiuhtzin ne ra Guzmán.
ha ga ñ'udihu̱ ra nt'ofo ya ñämfo̱ po ra nthuts'i ra doctor garibay,	Ha gá ñ'udi̱hü ra nt'otho ya ñämfo̱ po̱ ra nthuts'i ra doctor Garibay.
ha nu'a hyodi nubia thutuabi ra san martin.	Ha nu’ä hñudi nu'bya thuthua bi ra San Martín.
he̱mi unga mfädi ha ra t'u̱ka hnini habu̱ b'u̱i ya jä'i teni ra división ra arenas, 27 ra abril ra je̱ya 1918, ra m'ets'a he̱m'i ra zapata, b'e̱tsi ha ra universidad nacional autónoma de méxico, expediente 29.	Hemi hunga mfädi ha ra t'uka hnini habu b'ui ya jä'i teni ra división ra arenas, 27 ra abril ra jëya 1918, ra m'ets'a hem'i ra zapata, b'ëtsi ha ra universidad nacional autónoma de méxico, expediente 29.
"m'e̱fa ha ra hñuti bri thätuabi na ra hñe xki tagiri mo̱te, nehe bri jom'a ra xu̱tha ko n'a ra t'axa dutu mra thuhuu ra ""campanillante""."	M’efa ha ra hñuthi bri thätuabi na ra hñe xki tagiri mote, nehe bri jom’a ra xutha ko n’a ra t’axa dutu mra thuhuu ra “campanillante”.
ma dada'ihe gra ts'u̱tui, di ne gi pädi ge ma me̱t'o instä thogihe nuna thogi gatho ya mapa xki r'ani, bi juat'i ko ngeke nu̱'u ri b'e̱go, ri me̱fi ya ñämfo̱, ra nge'a majuäni ra hernando cortés ra ndä gabida,	Ma tada'ihe gra ts'uthui, di ne gi pädi ge ma met'o instä thogihe nuna thogi gatho ya mapa xki r'ani, bi juat'i ko ngeke nu'u ri b'ëgo, ri mefi ya ñämfo, ra nge'a majuäni ra Hernando Cortés ra ndä gabida.
mi b'u̱i ya mu̱dimehai mi ñä ra ndeznä ne habu̱ ra hnini dige'a gatho ra nxiki m'onda ngu r'a ya yaqui b'u̱i nuni sonora ne ya maya ri ñ'ehe nuni yucatán ra nge bi guat'i ha ra tuhni bi nja nuua m'onda fädi ko ra thuhu ra revolución mexicana ya je̱ya 1910-1919.	Mi b'ui ya mu̱dimehai mi ñä ra ndeznä ne habu̱ ra hnini dige'a gatho ra nxiki m'onda ngu r'a ya yaqui b'ui nuni Sonora ne ya maya ri ñ'ehe nuni Yucatán ra nge bi guat'i ha ra tuhni bi nja nuua m'onda fädi ko ra thuhu ra Revolución Mexicana ya je̱ya 1910-1919.
mi fo̱tuabi ya ts'u̱tnibo̱ja mi thutuabi ya hñämfo̱ ra pasadores nehe ya bo̱zna ko ya nzafi.	Mí fotuabi ya ts'utnibo̱jä mi thutuabi ya hñämfo̱ ra pasadores nehe ya bo̱zna ko ya nzafi.
