Input	Result
"-pasadores: ""ya nts'äza xi mra nts'u̱t'i mi t'e̱ni ko n'a ra t'e̱nga ts'u̱t'a bo̱kja mi tjutuabi ra ballesta""."	"-pasadores: ""ya nts'äza xi mra nts'u̱t'i mi t'e̱ni ko n'a ra t'e̱nga ts'u̱t'a bo̱kja mi tjutuabi ra ballesta""."
cantares mexicanos, biblioteca nacional de méxico, ya nt'ofo 1628 bis, folio 16 v.	cantares mexicanos, biblioteca nacional de méxico, ya nt'ofo 1628 bis, folio 16 v.
"ebu̱ bi bo̱ni, bi meui nuni nonohualco, ja ra ngu ra b'ongui jabu̱ ra gabida ne ra malintzin ne ""ra jyadi"" (alvarado) ne ra sandoval."	"ebu̱ bi bo̱ni, bi meui nuni nonohualco, ha ra ngu ra b'ongui jabu̱ ra gabida ne ra malintzin ne ""ra jyadi"" (alvarado) ne ra sandoval."
gi jandi ra nt'ofo ra tjuju ra crónicas de la conquista	gi handi ra nt'ofo ra tjuju ra crónicas de la conquista
guzmán. ja ya je̱m'i b'e̱tsa kje̱ya manteb'u̱ di ge nuua m'onda ne ya jyo, nu'a ra jmä ra 12-conejo (1530) ge xa jmä ge xibú bi yut'i ja ra culhuacan ya ndeznä, nda pablo xochiquetzin, motelchiuhtzin ne ra guzman.	guzmán. ha ya hem'i bets'a kheya manteb'u̱ di ge nuua m'onda ne ya jyo, nu'a ra hmä ra 12-conejo (1530) ge xa hmä ge xibú bi yut'i ha ra culhuacan ya ndeznä, nda pablo xochiquetzin, motelchiuhtzin ne ra guzman.
ja ga ñ'udiju̱ ra nt'ofo ya ñämfo̱ po ra ntjuts'i ra doctor garibay,	ha ga ñ'udihu̱ ra nt'ofo ya ñämfo̱ po ra ntjuts'i ra doctor garibay,
ja nu'a jyodi nubia tjutuabi ra san martin.	ha nu'a jyodi nubia tjutuabi ra san martin.
je̱mi unga mfädi ja ra t'u̱ka jnini jabu̱ b'u̱i ya kjä'i teni ra división ra arenas, 27 ra abril ra kje̱ya 1918, ra m'ets'a je̱m'i ra zapata, b'e̱tsi ja ra universidad nacional autónoma de méxico, expediente 29.	hem'i unga mfädi ha ra t'u̱ka hnini habu̱ b'u̱i ya jä'i teni ra división ra arenas, 27 ra abril ra khe̱ya 1918, ra m'ets'a hem'i ra zapata, b'e̱tsi ha ra universidad nacional autónoma de méxico, expediente 29.
"m'e̱fa ja ra jñuti bri tjätuabi na ra jñe xki tagiri mo̱te, neje bri kjom'a ra xu̱tja ko n'a ra t'axa dutu mra tjujuu ra ""campanillante""."	"m'e̱fa ha ra jñuti bri tjätuabi na ra jñe xki tagiri mo̱te, nehe bri kjom'a ra xu̱tja ko n'a ra t'axa dutu mra tjujuu ra ""campanillante""."
ma dada'ije gra ts'u̱tui, di ne gi pädi ge ma me̱t'o instä tjogije nuna tjogi gatjo ya mapa xki r'ani, bi kjuat'i ko ngeke nu̱'u ri b'e̱go, ri me̱fi ya ñämfo̱, ra nge'a makjuäni ra hernando cortés ra ndä gabida,	ma dada'ije gra ts'u̱tui, di ne gi pädi ge ma me̱t'o instä tjogije nuna tjogi gatjo ya mapa xki r'ani, bi juat'i ko ngeke nu̱'u ri b'e̱go, ri me̱fi ya ñämfo̱, ra nge'a makjuäni ra hernando cortés ra ndä gabida,
mi b'u̱i ya mu̱dimejai mi ñä ra ndeznä ne jabu̱ ra jnini dige'a gatjo ra nxiki m'onda ngu r'a ya yaqui b'u̱i nuni sonora ne ya maya ri ñ'eje nuni yucatán ra nge bi guat'i ja ra tujni bi nkja nuua m'onda fädi ko ra tjuju ra revolución mexicana ya kje̱ya 1910-1919.	mi b'u̱i ya mudimejai mi ñä ra ndeznä ne jabu̱ ra hnini dige'a gatjo ra nxiki m'onda ngu r'a ya yaqui b'u̱i nuni sonora ne ya maya ri ñ'eje nuni yucatán ra nge bi guat'i ha ra tujni bi nkja nuua m'onda fädi ko ra tjuju ra revolución mexicana ya kje̱ya 1910-1919.
mi fo̱tuabi ya ts'u̱tnibo̱kja mi tjutuabi ya jñämfo̱ ra pasadores neje ya bo̱zna ko ya nzafi.	mi fo̱tuabi ya ts'u̱tnibo̱kja mi tjutuabi ya jñämfo̱ ra pasadores nehe ya bo̱zna ko ya nzafi.
n'a nt'udi di ge'a nuya ntjoki bri t'o̱t'e ja ya jñä ya ndeznä ra ngätsi ra ntjebe nkje̱ya ra r'e̱t'a ma gu̱to (s. xix), r'a ya jnini ngu ra xicontepec (villa juárez) nuna jyodi koji nuni puebla.	n'a nt'udi di ge'a nuya ntjoki bri t'o̱t'e ha ya jñä ya ndeznä ra ngätsi ra ntjebe nkje̱ya ra r'e̱t'a ma gu̱to (s. xix), r'a ya jnini ngu ra xicontepec (villa juárez) nuna jyodi koji nuni puebla.
"n'a ra t'axa dutu mi pe̱tsi ya k'oi ra ixki, nuna mra tjuju jñämfo̱ ""campaneante resonador""."	"n'a ra t'axa dutu mi pe̱tsi ya k'oi ra ixki, nuna mra tjuju jñämfo̱ ""campaneante resonador""."
