Input	Result
"-pasadores: ""ya nts'äza xi mra nts'u̱t'i mi t'e̱ni ko n'a ra t'e̱nga ts'u̱t'a bo̱ja mi thutuabi ra ballesta""."	ya ntzaʼa ɨi mra ntɨʼtɨʼ mi tʼeɨni ko nʼa ra tʼeɨnga tɨʼtɨʼa boɨja mi tʼutuabi ra ballesta
"cantares mexicanos, biblioteca nacional de méxico, ya nt'ofo 1628 bis, folio 16 v."	"Cantares mexicanos, biblioteca nacional de México, ya nt'oho 1628 bis, folio 16 v."
"ebu̱ bi bo̱ni, bi meui nuni nonohualco, ha ra ngu ra b'ongui habu̱ ra gabida ne ra malintzin ne ""ra hyadi"" (alvarado) ne ra sandoval."	"Ebu̱ bi bo̱ni, bi meui nuni nonohualco, ha ra ngu ra b'ongui habu̱ ra gabida ne ra malintzin ne ""ra hyadi"" (Alvarado) ne ra Sandoval."
gi handi ra nt'ofo ra thuhu ra crónicas de la conquista	gi jandi ra nd'ofo ra t'uhu ra crónicas de la conquista
"guzmán. ha ya he̱m'i b'e̱tsa je̱ya manteb'u̱ di ge nuua m'onda ne ya hyo, nu'a ra hmä ra 12-conejo (1530) ge xa hmä ge xibú bi yut'i ha ra culhuacan ya ndeznä, nda pablo xochiquetzin, motelchiuhtzin ne ra guzman."	"Guzmán. Ha ya hem'i be̱tsa je̱ya mante̱b'u di ge nuua m'onda ne ya hyo, nu'a ra hmä ra 12-conejo (1530) ge xa hmä ge xibú bi yut'i ha ra culhuacan ya ndeznä, nda Pablo Xochiquetzin, Motelchiuhtzin ne ra Guzmán."
"ha ga ñ'udihu̱ ra nt'ofo ya ñämfo̱ po ra nthuts'i ra doctor garibay,"	"Ha ga ñ'uðiu ra nt'ofu ya ñämfu po ra nthuts'i ra doctor Garibay,"
ha nu'a hyodi nubia thutuabi ra san martin.	Ha nu'a jyodi nubia thutuabi ra San Martín.
"he̱mi unga mfädi ha ra t'u̱ka hnini habu̱ b'u̱i ya jä'i teni ra división ra arenas, 27 ra abril ra je̱ya 1918, ra m'ets'a he̱m'i ra zapata, b'e̱tsi ha ra universidad nacional autónoma de méxico, expediente 29."	"Hëmi unga mfädi ha ra t'uka hnini habu b'ui ya jä'i teni ra división ra arenas, 27 ra abril ra jëya 1918, ra m'ets'a hëm'i ra zapata, b'ëtsi ha ra Universidad Nacional Autónoma de México, expediente 29."
"m'e̱fa ha ra hñuti bri thätuabi na ra hñe xki tagiri mo̱te, nehe bri jom'a ra xu̱tha ko n'a ra t'axa dutu mra thuhuu ra ""campanillante""."	"m'efa ha ra hñuti bri thätuabi na ra hñe xki tagiri mo̱te, nehe bri jom'a ra xu̱tha ko n'a ra t'axa dutu mra thuhuu ra ""campanillante"""
"ma dada'ihe gra ts'u̱tui, di ne gi pädi ge ma me̱t'o instä thogihe nuna thogi gatho ya mapa xki r'ani, bi juat'i ko ngeke nu̱'u ri b'e̱go, ri me̱fi ya ñämfo̱, ra nge'a majuäni ra hernando cortés ra ndä gabida,"	"Ma dada'ihe gra ts'utui, di ne gi pädi ge ma met'o insta thogihe nuna thogi gatho ya mapa xki r'ani, bi juat'i ko ngeke nu'u ri b'ego, ri mefi ya ñamfo, ra nge'a majuani ra Hernando Cortés ra nda gabida,"
mi b'u̱i ya mu̱dimehai mi ñä ra ndeznä ne habu̱ ra hnini dige'a gatho ra nxiki m'onda ngu r'a ya yaqui b'u̱i nuni sonora ne ya maya ri ñ'ehe nuni yucatán ra nge bi guat'i ha ra tuhni bi nja nuua m'onda fädi ko ra thuhu ra revolución mexicana ya je̱ya 1910-1919.	mi bʉi ya mudimejai mi ñä ra ndeznä ne habʉ ra hni ni dige'a gatho ra nxiki m'onda ngu r'a ya yaqui bʉi nuni sonora ne ya maya ri ñ'ehi nuni yucatán ra nge bi guat'i ha ra tuhni bi nja nuua m'onda fädi ko ra thuhu ra revolución mexicana ya jeyai 1910-1919.
mi fo̱tuabi ya ts'u̱tnibo̱ja mi thutuabi ya hñämfo̱ ra pasadores nehe ya bo̱zna ko ya nzafi.	mi fōtūābi ya ts'ūtñibo̱ja mi thutuabi ya ñǵāmfo̱ ra pasadores nehe ya bōzna ko ya nzāfi
"n'a nt'udi di ge'a nuya nthoki bri t'o̱t'e ha ya hñä ya ndeznä ra ngätsi ra nthebe nje̱ya ra r'e̱t'a ma gu̱to (s. xix), r'a ya hnini ngu ra xicontepec (villa juárez) nuna hyodi kohi nuni puebla."	"N'a nt'udi di ge'a nuya nthoki bri t'o̱t'e ha ya hñä ya ndeznä ra ngätsi ra nthebe nje̱ya ra r'e̱t'a ma gu̱to (s. xix), r'a ya hnini ngu ra xicontepec (Villa Juárez) nuna hyodi kohi nuni Puebla."
"n'a ra t'axa dutu mi pe̱tsi ya k'oi ra ixki, nuna mra thuhu hñämfo̱ ""campaneante resonador""."	"n'a ra t'axa dutu mi pe̱tsi ya k'oi ra ixki, nuna mra thuhu hñämfo̱ ""campanente resonador""."
"ne ri mpe̱fi ha ra dängan gu nt'udi ra thuhu ra facultad de estudios superiores, acatlán, unam,"	"Ne ri mpʉ̱fi ha ra däŋan gu nt'udi ra tʉhu ra Facultad de Estudios Superiores, Acatlán, UNAM,"
"nthandi gatho nu'a ra munts'i ra thuhu hñämfo̱ ra globalización ge 'a po̱ts'e dega nest'ihi, nuna y'o̱te to̱m'i da nja ra ntho̱mäte."	"Nthandi gatho nu'a ra munts'i ra thuhu hñämfo ra globalización ge 'a po̱ts'e dega nest'ihi, nuna y'o̱te to̱m'i da nja ra ntho̱mäte."
"nu'a ma r'a ya jä'i mi pädi nuña b'e̱fi bri b'e̱pabi xa hyoki yoho ya mpe̱fi mi fädi ko ra thuhu ra amosqueador ko ya xi ya ts'ints'u̱ xi sta hotho, gi hutsuabi made dige'a n'a ra zänä dega k'astaboja"	"Nü'a ma r'a ya jä'i mi pädi nüña bëfi bri bëpabi xa hyoki yoho ya mpëfi mi fädi ko ra tühu ra amosqueador ko ya xi ya ts'ints'u xi sta hoto, gi hutsuabi made dige'a n'a ra zänä dega k'astaboja"
